"type";"id";"is_deleted";"symbol";"created_by";"edited_by";"edited_on";"created_on";"published";"geom"
"федеральная";122;f;"";"57cd206ea47f4dd00900000f";"";"2017-04-18 18:15:04.311224";"2017-04-18 18:15:04.311224+09";f;"0105000020E61000000100000001020000006E0000002592E86514E25940DA1F28B7ED674840342C465D6BE05940A33F34F3E46A484017F2086EA4DD5940ED7F80B56A6D484081ED60C43EDA5940314278B4717048405D6E30D461D7594013B70A62A07348401327F73B14D55940711DE38A8B7548404EEFE2FDB8D2594056F5F23B4D7A48406FB88FDC9AD15940446D1B46417C48409738F24064D05940C58EC6A17E7D4840E78D93C2BCCF59404F745DF8C17D484058AEB7CD54CE5940C1CAA145B67D48401898158A74CB594062DA37F7577B4840F1F3DF83D7C959403CC1FEEBDC7A4840639813B4C9C75940C843DFDDCA7A48401EE21FB6F4C5594001BEDBBC717A48405378D0ECBAC359406A1327F73B784840EDF1423A3CC25940465D6BEF537748403DF372D87DC05940DA3C0E83F9774840529B38B9DFBE5940890AD5CDC5774840EF0390DAC4BB5940E6577380607648402C47C8409EB95940E25B5837DE7548408FFB56EBC4B7594083FA96395D7648404F0647C9ABB559401EFB592C45784840C07B478D09B4594085ED27637C7A4840D4D51D8B6DB359401FBC7669C37B484026AAB706B6B259407DAF21382E7D484030F1475167B25940645B069CA57E48408F71C5C551B25940DBF7A8BF5E8148404F22C2BF08B259404700378B178748403BA759A0DDB2594027C286A7578A48403695456117B559403ECA880B40914840E622BE13B3B55940384E0AF31E93484013622EA9DAB65940B2BD16F4DE94484074ECA012D7BA5940B22AC24D469B4840BABF7ADCB7BC59400805A568E59E48409961A3ACDFBD594070B6B9313DA348409F724C16F7BD594049B9FB1C1FA74840F4328AE596BD5940D42CD0EE90A84840C6866EF607BD59405262D7F676A948407EE19524CFBB594018265305A3AA4840257497C459BA5940257A19C572AB48401A53B0C6D9B8594089601C5C3AAC4840AED689CBF1B65940C2A38D23D6AC4840292504ABEAB559409CC1DF2F66AD48406F2A52616CB55940D57954FCDFAD4840F9F4D89601B559408351499D80AE48403161342BDBB45940EACDA8F92AAF4840DD24068195B45940003ACC9717B04840B7D100DE02B45940F7B0170AD8B0484048E2E5E95CB35940132D793C2DB1484005DCF3FC69B259403F389F3A56B14840F19BC24A05B159405C1C959BA8B148408E942D9276AF594062F6B2EDB4B14840DCBDDC2747AD5940F06B2409C2B14840838593347FA859401EE1B4E045B348404BE658DE55A65940C478CDAB3AB54840950D6B2A8BA5594036AFEAAC16B64840B9E00CFE7EA45940F9A1D28899B748401C261AA4E0A259408F37F92D3ABB4840912C6002B7A15940541D7233DCBC48404E7CB5A338A05940DD611399B9BE484001BD70E7C29B5940B41D537765C1484071395E81E89559405DC0CB0C1BC34840B2101D02478F5940944C4EED0CC548409964E42CEC8A59401A4F04711EC44840EBC37AA35683594048A30227DBC448400A65E1EB6B7D59407D93A641D1C4484019709692E5795940724D81CCCEC4484023F77475C7785940A4349BC761C448406440F67AF7755940193C4CFBE6C24840B3EE1F0BD17159401D8EAED2DDBF484092088D60E36A5940D3F8855792BC48402C2AE27492635940A818E76F42BB48407521567F84605940478E740646BA48408351499D805D5940A1DAE044F4B948402ECA6C90495A59404AB3791C06BB4840D2E3F736FD5759407270E998F3BA4840BED9E6C6F4565940CDCCCCCCCCBA484095D5743DD1525940F3E670ADF6B8484084F068E3884E5940942F682101B948404B2366F679495940B648DA8D3EB848401B66683C11485940320400C79EB7484071732A1900455940ED10FFB0A5B548405DA79196CA425940F6B704E09FB448406EA7AD11C1405940016C4084B8B448401F49490F433F59402541B8020AB5484034BBEEAD483D5940103D29931AB64840742843554C3B594096EA025E66B84840340EF5BBB0385940C15774EB35BD484068075C57CC375940F0880AD5CDBF4840207A5226353759405B43A9BD88C04840BEF561BD5136594007793D9814C1484080BBECD79D345940240C03965CC148401D739EB12F3359403B38D89B18C24840024A438D42325940CAC16C020CC34840E61E12BEF72F5940FED478E926C54840B1BFEC9E3C2B5940B0E42A16BFC948404C8DD0CFD42459406D57E88365D048403B8908FF2223594060200890A1D14840B3EE1F0BD12159403A5B40683DD248400B7DB08C0D2159406825ADF886D24840D717096D3920594061DD787764D2484001344A97FE1E5940287CB60E0ED24840AC70CB47521E5940B41D537765D148403541D47D001D59400D6E6B0BCFCF484006D671FC501C5940CFDBD8EC48CF4840FA2B64AE0C195940E9D66B7A50CE48408FC536A968105940C90391459AD04840DD989EB0C40D5940CD920035B5D0484002124DA0880A59404AD235936FD04840"
"прочая";123;f;"";"57cd206ea47f4dd00900000f";"";"2017-04-18 18:15:04.573663";"2017-04-18 18:15:04.573663+09";f;"0105000020E610000001000000010200000008000000583A1F9E25A95840B51B7DCC07C248403AEB538EC9A75840FBB2B45373BF4840E692AAED26A658403ACB2C42B1BD4840CDAB3AAB05A358404E469561DCBB48404BAB21718F9F584003249A4011B94840C634D3BD4E9C5840B1C398F4F7B64840CA51802898995840068200193AB6484096B4E21B0A945840CEA8F92AF9B24840"
"прочая";124;f;"";"57cd206ea47f4dd00900000f";"";"2017-04-18 18:15:04.575581";"2017-04-18 18:15:04.575581+09";f;"0105000020E6100000010000000102000000450000000135B56CAD1458408B16A06D353547406EDDCD531D165840AA6395D2333B474077F35487DC1658406EDA8CD3103F4740030B60CAC0165840B7D100DE02454740647616BD531758404772F90FE9474740A0C211A4521858401DE90C8CBC4A47407E6FD39FFD1A5840D9B3E732354F47401A355F251F1F58406E179AEB34544740130D52F0142058407F880D164E564740DA73999A0421584041D653ABAF58474023BF7E880D2258404A5F0839EF5947402C0E677E352358404371C79BFC5A47400DFE7E315B2458408201840F255C474098E0D407922558407F87A2409F604740EEB435221826584076E3DD91B16247409FCA694FC92658402F3196E997664740548B8862F22658402159C0046E71474093FDF3346027584033E197FA79734740F19E03CB112858400D198F5209754740876C205D6C29584066D993C0E6764740CC5F2173652F58409563B2B8FF804740ECFB7090103158407DEC2E505284474089247A19C5335840299485AFAF89474005357C0BEB345840834E081D748D4740A7EB89AE0B3558405E807D74EA904740267156444D345840D313967840974740A7E9B303AE3258409E279EB3059E474028EE7893DF3158402DCDAD1056A14740C6DE8B2FDA315840CF30B5A50EA44740D6E253008C315840E6965643E2A847407A1A3048FA305840D09B8A5418AD4740105B7A34D5305840C843DFDDCAAE474090882991443158408944A165DDAF4740B5A7E49CD83258403E3F8C101EB14740227024D0603458409886E12362B24740DB368C82E03458402E76FBAC32B34740BC77D498103558400E84640113B447407B134372323658406090F46915B54740946DE00ED43458404C33DDEBA4B64740ADF6B0170A3458408C15359886B747405CAAD216D73258408FA67A32FFB84740BD19355F253258409ACC785BE9B94740A646E867EA3158402A8BC22E8ABA4740B0E3BF401032584041834D9D47BB4740BB2A508BC13258408927BB99D1BB4740F5BD86E0B834584060EAE74D45BC4740FFEA71DF6A3758409FCDAACFD5BC4740246420CF2E3858403448C153C8BD4740BABF7ADCB7385840700A2B1554BE4740B8E864A9F538584044FD2E6CCDBE474088307E1AF73858401DC87A6AF5BF4740B477465B953858406ADE718A8EC04740BA6B09F9A0385840D9EE1EA0FBC04740EBFCDB65BF3A5840B421FFCC20C44740A65EB7088C3B58404F95EF1989C64740691D554D103C5840BD1E4C8A8FC9474030134548DD3B5840F4FA93F8DCCB4740661536035C3B5840AE2CD15966CD4740A19E3E027F3A5840855B3E9292CE4740CD565EF23F395840A9A0A2EA57D0474034A149624937584086014BAE62D1474072C3EFA65B365840F73DEAAF57D247400919C8B3CB35584069C9E369F9D34740E622BE13B3355840BDC804FC1AD54740CEE33098BF35584060C77F8120D647409F93DE37BE3558405C8E57207AD84740BFD18E1B7E365840A88E554ACFDC47403D0E83F92B365840CEE0EF17B3DD474055F833BC5935584021CEC3094CDF4740"
"федеральная";125;f;"";"57cd206ea47f4dd00900000f";"";"2017-04-18 18:15:04.577172";"2017-04-18 18:15:04.577172+09";f;"0105000020E61000000100000001020000002800000024ED461FF39759402B84D558C2B247405EBBB4E1B09659402769FE98D6B24740EDD808C4EB94594076525F9676B24740620FED6305925940365A0EF450B1474024F25D4A5D905940F73C7FDAA8B04740FA415DA4508F594009168733BFB04740F5D89601678A5940E2033BFE0BB4474079043752B6885940F1F44A5986B4474014596B28B5845940BBD408FD4CB547403A3B191C25825940D6C743DFDDB6474088855AD3BC8059404E64E60297B747404966F50EB77D5940621399B9C0B7474006483481227A5940F6CFD38041B84740FAF19716F575594086C954C1A8B847405000C5C89272594043AD69DE71B847402F151BF33A715940302FC03E3AB94740D28C45D3D97059400936AE7FD7B947405247C7D5C87059408A7615527EBA474091EEE714E47059401D05888219BB47407D76C075C570594054FEB5BC72BB474091F0BDBF41705940840CE4D9E5BB4740231631EC306F5940C83F33880FBC4740E21FB6F4686E5940904C874ECFBB4740C3B7B06EBC6C5940D7169E978ABB47407EACE0B7216B594061376C5B94BB474008E8BE9CD9665940BC96900F7ABC474045BA9F539065594099805F2349BC4740282A1BD654625940D927806264BB4740AFB5F7A92A5D5940DE1CAED51EBC47401E705D31235C5940F243A51133BD4740F04C6892585B594042226DE34FBE4740B83CD68C0C5B594053E751F17FBF4740DE567A6D365A5940802A6EDC62C2474039EFFFE384595940992B836A83C347403332C85D845859400CB265F9BAC4474045BC75FEED5559401B4AED45B4C54740CB4DD4D2DC5159400BCF4BC5C6C84740D1CE6916684F59404ACE893DB4C94740151C5E10914E59404CFF9254A6CA47405C59A2B3CC4C5940CDE67118CCCB4740"
"федеральная";126;f;"";"57cd206ea47f4dd00900000f";"";"2017-04-18 18:15:04.578517";"2017-04-18 18:15:04.578517+09";f;"0105000020E61000000100000001020000000C000000978FA4A4873F5A4062A2410A9E00464084D90418963D5A409B90D61874FA4540F54BC45BE73B5A40EAB0C22D1FF345408505F7031E3B5A40D3A57F492AF145406DE7FBA9F1345A40A2B437F8C2E44540FD4AE7C3B3315A40917EFB3A70DC45403A2009FB762F5A40B72A89EC83D8454079CDAB3AAB2C5A4013B534B742D4454008E9297288285A403D29931ADACE4540965984622B245A40917BBABA63CB4540DAE3857478205A40B80721205FCA4540E9818FC18A1B5A40E8BE9CD9AEC84540"
"прочая";127;f;"";"57cd206ea47f4dd00900000f";"";"2017-04-18 18:15:04.579852";"2017-04-18 18:15:04.579852+09";f;"0105000020E610000001000000010200000036000000705D3123BC03574062BA10AB3FFC4840E0675C381003574014799274CDF8484085CC9541B501574067F2CD3637F048404700378B1701574009C03FA54AE84840698CD651D500574086730D3334E04840BCE82B4833015740234C512E8DDB4840AFD007CBD80257401EA8531EDDD04840AD6BB41CE8025740E9263108ACCC4840A1478C9E5B02574054E1CFF066C94840971DE21FB601574027C0B0FCF9C44840645B069CA5015740BEDBBC7152C048404EB7EC10FF0057407787140324BE4840DD42572250FF56402C9E7AA4C1BB4840F1643733FAFC5640768BC058DFB8484037DF88EE59FC5640594C6C3EAEB7484094F7713447FC5640E8A04B38F4B64840F7915B936EFC564074B7EBA529B6484014950D6B2AFD564047E9D2BF24B54840AEBA0ED594FE5640172AFF5A5EB348402043C70E2AFF5640C231CB9E04B248405857056A31FF56404969368FC3B04840894336902EFF5640A33CF372D8AB4840F8FF71C284FE56408CF50D4C6EA648402DB29DEFA7FE564012D89C8367A2484097A8DE1AD8FE56402DEE3F321D9E4840BD8FA339B2FE564030630AD6389D484062D8614CFAFD564066F84F37509A48408CF2CCCB61FD5640B6BC72BD6D984840B741EDB776FD5640EA5BE67459964840C11C3D7E6FFE5640FE47A643A78F4840CDCCCCCCCCFF5640A609DB4FC68A4840228C9FC6BD015740C1AC50A4FB834840B939950C00025740CB67791EDC7F484006BB61DBA2025740488B3386396F4840A4C7EF6DFA01574015376E313F6948400306499F56025740026553AEF05848408E3BA583F5025740D5EAABAB0251484049D9226937035740B22D03CE524C48403E062B4EB5025740ABE80FCD3C47484040F67AF7C70157406F62484E264248403CD862B7CF015740890AD5CDC53F48407D2079E750025740D3F71A82E33A484075560BEC31025740B8C83D5DDD394840D74FFF59F3015740207EFE7BF03848404BE48233F80057408DD0CFD4EB3648402AE5B512BA0057403E3E213B6F3548405F7EA7C98C0057404014CC98822D4840711DE38A8B0057403A05F9D9C8254840B5FF01D6AAFF56408DCF64FF3C23484012BF620D17FB564036AD1402B91E484022DE3AFF76F65640C5C89239961B4840D9243FE257EF56402D05A4FD0F144840FCA886FD9EED564044DFDDCA12114840F110C64FE3E756401555BFD2F9024840"
"прочая";128;f;"";"57cd206ea47f4dd00900000f";"";"2017-04-18 18:15:04.58164";"2017-04-18 18:15:04.58164+09";f;"0105000020E610000001000000010200000006000000B2B8FFC874F35740D53F8864C8D34840B87878CF81F35740A3E716BA12D14840C4995FCD01F45740E5B512BA4BCE4840BEFA78E8BBF45740BD38F1D58ECC4840575C1C959BF557400ABC934F8FCB484085ECBC8DCDF75740960A2AAA7EC94840"
"прочая";129;f;"";"57cd206ea47f4dd00900000f";"";"2017-04-18 18:15:04.582933";"2017-04-18 18:15:04.582933+09";f;"0105000020E610000001000000010200000008000000F38DE89E75E857407A008BFCFAF94840FE9DEDD11BEA5740A9F57EA31DF948405649641F64EF5740B5C5353E93F7484076A8A624EBF3574061DF4E22C2F5484010070951BEF85740A1D9756F45F448402DB4739A05FC574015E5D2F885F14840D940BAD8B4FE574021CB82893FF04840981936CAFAFF574093FFC9DFBDEF4840"
"прочая";130;f;"";"57cd206ea47f4dd00900000f";"";"2017-04-18 18:15:04.584253";"2017-04-18 18:15:04.584253+09";f;"0105000020E61000000100000001020000003E00000089B7CEBF5D2358406117450F7CC64840522976340E275840A1BDFA78E8BF4840D8B969334E27584040A374E95FBE484029B2D6506A275840B8CEBF5DF6BB4840D7F7E1202127584010069E7B0FB948405F950B957F265840137D3ECA88B74840E4839ECDAA275840685C381092B548405BB4006DAB28584082902C6002B348402B84D558C22858400F9BC8CC05B248401E335019FF285840F4C0C760C5AB4840B284B53176295840BFF2203D45AA484056D5CBEF342A58407079AC1919A8484075E5B33C0F2B58407F6C921FF1A5484053CA6B25742B5840F451465C00A44840ABAFAE0AD42B5840876A4AB20EA148409E616A4B1D2C5840BCC96FD1C99A4840D2C3D0EAE42B58402B155454FD904840E0F42EDE8F2A584061191BBAD98B4840A7B05241452A5840473D44A33B8A4840E014562AA82A58402BF697DD93894840CB67791EDC2B5840BD73284355884840D107CBD8D02D58402D42B11534874840BE310400C72E58400F0F61FC348648409544F64196315840DFE1766858804840ABCB2901313258401A4E999B6F7E4840C6A6954220325840143FC6DCB57C484084674293C431584065C746205E794840D55DD905833258409869FB57567848404C1AA37554335840EDB60BCD75764840D19332A9A13358408237A45181754840429946938B335840596C938AC6724840E736E15E99335840F85278D0EC704840E4DA5031CE33584078F01307D06F48401A6F2BBD363458406ADD06B5DF6E4840325A475513355840310A82C7B76D484075914259F8355840C284D1AC6C6D48408F334DD87E3758402995F0845E6D484080B8AB57913A584013B534B7426E4840C47C7901F63C5840035DFB027A6F48401ABFF04A923F58401477BCC96F6F4840BB29E5B5124158400F7F4DD6A86F48407AE3A430EF4458406F641EF98371484093E1783E034958408A56EE0566734840E292E34EE94B58403B8A73D4D17348402E742502D55358406B65C22FF57348404435255987585840BE33DAAA24744840C4B12E6EA35A5840CBB914579573484007B309302C5D58404A0856D5CB714840BA66F2CD365F5840944BE3175E6F48406B0F7BA180615840C59107228B6C48401FA0FB72666258409CE09BA6CF6A48400EBDC5C37B635840F2237EC51A6848400113B87537645840F8A92A3410674840406D54A70366584053B29C84D2654840D7169E978A6958400DFCA886FD64484035EF3845476B5840F6B6990AF1644840540262122E7358405EBA490C026548409E7B0F971C7858405CE84A04AA6548408A8EE4F21F7B58405E66D828EB654840A88AA9F413815840B972F6CE686748403F1A4E999B84584076FC170802684840C79FA86C588658401973D712F2674840"
"федеральная";131;f;"";"57cd206ea47f4dd00900000f";"";"2017-04-18 18:15:04.585797";"2017-04-18 18:15:04.585797+09";f;"0105000020E610000001000000010200000006000000C4D2C08F6A17584048F8DEDFA0D9484046D26EF431195840FF25A94C31D74840A06F0B96EA1A5840D714C8EC2CD448406D7022FAB51C5840FC389A232BCF48400B444FCAA41D58409B7631CD74CD48405436ACA92C21584078D0ECBAB7C84840"
