id;WKT;WKB
0;MULTIPOLYGON (((105.999880426311 56.7999540577073,106.00104311887 56.8000043193946,106.001394986355 56.7998702880788,106.00174685384 56.7999875655063,106.002144617084 56.8000210732754,106.003016636503 56.7998116492274,106.002404693051 56.7996692402067,106.002802456295 56.7994430600619,106.002435290224 56.7992587641203,106.002970740745 56.7992336327854,106.003062532262 56.7991331072772,106.002481185983 56.7987980203032,106.002511783155 56.7985048167445,106.001930436876 56.7984126665811,106.002022228394 56.7982116108929,106.001731555254 56.7980608184194,106.000966625939 56.7980189315136,106.00050766835 56.797834628572,105.999406170136 56.7983959119816,105.999253184273 56.7983372708244,105.999039004065 56.7984713076204,105.999130795582 56.7986807391548,105.999023705478 56.7989655641645,105.999314378618 56.799107975858,105.999329677204 56.7996022240097,105.999880426311 56.7999540577073)));0106000020E6100000010000000103000000010000001A000000A4BA780AFE7F5A40E31302E564664C40AE5B281711805A40B23AA28A66664C407A31FFDA16805A40972B4C2662664C404707D69E1C805A40328717FE65664C403F0F2D2323805A4012EA2C1767664C40F5C7B06C31805A401D32663A60664C40B480036627805A400827C98F5B664C40AC885AEA2D805A4071FD722654664C4093F758E627805A401378761C4E664C400F9630AC30805A409A56A5494D664C4021FA302D32805A40067460FE49664C40BF29D9A628805A40E9A776033F664C4058A02E2729805A40DCCEE46735664C40F6CFD6A01F805A40C8D6E16232664C404E34D72121805A4047094ECC2B664C40FA4BAB5E1C805A4048AA5DDB26664C40E9B252D60F805A404B38FE7B25664C4078BD505108805A40A1AAF2711F664C40E7094C45F67F5A404C9C55D631664C4017B8A0C3F37F5A4031AF6AEA2F664C40CE784A41F07F5A401283CC4E34664C40E0DC4AC2F17F5A40B74EA32B3B664C403BBD1F01F07F5A40BD5BEC8044664C408FA54BC4F47F5A4035248F2B49664C40DC607604F57F5A401CF79C5D59664C40A4BA780AFE7F5A40E31302E564664C40
1;MULTIPOLYGON (((105.985713935395 56.8240593653957,105.987366182715 56.8246955990866,105.986876627954 56.8251811385804,105.987029613817 56.8256666717804,105.989354998935 56.8261187142746,105.989783359351 56.8263028781712,105.991710981225 56.8264535570493,105.992047550124 56.8262693938937,105.995413239111 56.826403330824,105.997952804437 56.8263531045312,105.997830415747 56.8257001565967,105.998901316788 56.8257838685064,105.999115496996 56.8255662171519,105.999329677204 56.8252983368256,105.999329677204 56.8252815942416,105.999788634793 56.8252648516501,106.0003393839 56.825750383765,106.000278189555 56.8287806316389,106.000614758454 56.8292828589831,106.001838645358 56.829768339014,106.003307309643 56.8301198895906,106.004928959791 56.8300529278304,106.003490892679 56.8321789052698,106.010742422586 56.8362212774465,106.007315539255 56.8409744818347,106.008661814849 56.8411083661772,106.012333475562 56.8361543265961,106.006336429731 56.8326727174018,106.006703595802 56.8316013879053,106.008661814849 56.8313335507422,106.012945419014 56.8289229300702,106.015270804132 56.8291238210528,106.021023072582 56.8332753267746,106.024327567224 56.8322040145184,106.024939510676 56.8317353057685,106.025918620199 56.834547470271,106.023838012462 56.8348822376921,106.024449955914 56.8358865219974,106.02616339758 56.8366229800349,106.024939510676 56.848471267634,106.023593235081 56.8487389822137,106.023470846391 56.8520183303947,106.027754450555 56.8504790803015,106.028366394008 56.8382966944297,106.031793277339 56.838095852653,106.031670888649 56.834547470271,106.02910072615 56.8346144239947,106.02897833746 56.8320700983314,106.019921574368 56.8241012232075,106.025979814544 56.8220417634086,106.025367871092 56.8211375745605,106.030447001745 56.8195635641361,106.029773863947 56.819295640882,106.033506719005 56.818424877074,106.034669411564 56.81802297926,106.036566436266 56.8177885368776,106.036505241921 56.817319647712,106.038585849658 56.8173866322378,106.038524655313 56.8178555205651,106.039258987455 56.8177215530704,106.039503764836 56.8172526630665,106.04201273299 56.8176210771349,106.041890344299 56.8186258243644,106.046418725845 56.819295640882,106.060493425244 56.8269307028314,106.061594923458 56.8272990217342,106.0623292556 56.8290401166077,106.061594923458 56.8298771526404,106.063553142504 56.8310154916229,106.064042697266 56.835233740263,106.059942676137 56.837275737549,106.058841177923 56.8361710643199,106.058168040126 56.8363719164222,106.057800874055 56.8380121682613,106.047275446678 56.8432002468359,106.045562005012 56.8421292185428,106.04495006156 56.842330038682,106.046663503226 56.8440034979453,106.043970952037 56.8462123496173,106.043175425549 56.8464800803561,106.041523178228 56.8447732640836,106.041156012157 56.8450075375922,106.042379899061 56.8468147410864,106.033629107696 56.8498265530005,106.032955969898 56.8499269425566,106.02769325621 56.8495588462008,106.028060422281 56.850529274238,106.033078358589 56.850964285534,106.0348529946 56.8504958116211,106.037117185373 56.8495923096555,106.04201273299 56.8479525651858,106.045806782393 56.846781275148,106.046051559774 56.8456434154383,106.048315750547 56.8449740700379,106.049784414832 56.8432337159763,106.051681439533 56.8428990232258,106.053823241616 56.8426312668708,106.054496379413 56.8416271634813,106.054068018997 56.8410581596049,106.055353100246 56.8401879016528,106.057066541912 56.8394849862299,106.060187453518 56.8380121682613,106.060493425244 56.8388155306997,106.061839700839 56.8387485844882,106.063124782088 56.8381795368576,106.064409863337 56.8375435322113,106.064960612444 56.8368070922809,106.065327778516 56.8359032598409,106.066184499349 56.8350328820551,106.065878527623 56.8331246753405,106.065388972861 56.8313168108559,106.063002393398 56.8257922396871,106.059575510066 56.8226445438499,106.046296337155 56.8161808924518,106.042671987911 56.8131798428855,106.031536721656 56.8122909608546,106.013673898705 56.8154654427251,106.008106265578 56.8192744660062,106.001146724169 56.8216866471418,105.985713935395 56.8240593653957)));0106000020E61000000100000001030000000100000078000000E9EEE6EF157F5A40242BFCC67A694C40FCFBED01317F5A40B59D19A08F694C40F38F96FC287F5A404BBD19899F694C40C3E1417E2B7F5A40D4580C72AF694C40D623A197517F5A4024360E42BE694C4067A24D9C587F5A40012BEF4AC4694C4082DC5531787F5A404598EB3AC9694C4002F701B57D7F5A40C73A0C32C3694C402EFFBAD9B47F5A40E7989795C7694C408A807075DE7F5A406D7443F0C5694C4099A51A74DC7F5A404571F08AB0694C404AE2C9FFED7F5A4051662A49B3694C4093212082F17F5A40C8AC5F27AC694C40DC607604F57F5A40F80D3B60A3694C40DC607604F57F5A4014A1C8D3A2694C404D567889FC7F5A400F305647A2694C4015B07A8F05805A400E774630B2694C409DC2CF8E04805A404139D67B156A4C401DDD7B120A805A409F3BD3F0256A4C409F6BD61F1E805A4023A953D9356A4C4049B0DC2F36805A407FC6585E416A4C40C3468EC150805A40857DA12C3F6A4C40F878DD3139805A4006479FD6846A4C40F36BFC00B0805A40106D7F4C096B4C40957698DB77805A401320440DA56B4C4008E048EA8D805A40C18F5E70A96B4C40D48B5812CA805A40D091DF1A076B4C40F49DE9D067805A408FC10405956A4C400D2FEBD46D805A40452E0EEA716A4C4008E048EA8D805A40AE404623696A4C4015D30519D4805A402BC785251A6A4C4028156532FA805A40CFE0B7BA206A4C40DF4C287158815A40C28712C4A86A4C40936736958E815A406DFA40A9856A4C40D4AEE39B98815A40259A704D766A4C402D8792A6A8815A4001E39573D26A4C4042FBDE8F86815A400E73D16BDD6A4C4083428C9690815A40B1925D54FE6A4C40563D3EA9AC815A407E2A3976166B4C40D4AEE39B98815A40B60ADDB49A6C4C401A45338D82815A405EB99D7AA36C4C402A6ADD8B80815A40A251C8EF0E6D4C40F05C9ABAC6815A40DEE99D7FDC6C4C4078A447C1D0815A40D2755B4E4D6B4C40D699ABE608825A40680793B9466B4C40E5BE55E506825A4001E39573D26A4C40AAC64AC9DC815A40DFE93BA5D46A4C40B9EBF4C7DA815A400C28E245816A4C404E99236546815A4089221D267C694C40A6743DA7A9815A409FE41CAA38694C40652D90A09F815A4087203A091B694C406330FBD7F2815A40977A7875E7684C4063FBA2D0E7815A40F9ABF7ADDE684C40A8945DF924825A4001A27825C2684C40B1350D0638825A402BA61BFAB4684C4033F9BF1A57825A406C77764BAD684C40BB0B151A56825A4090A622EE9D684C40A697C83078825A4010D30A20A0684C402DAA1D3077825A400FD75C7DAF684C405FCC203883825A40FAD58F19AB684C408782CC3A87825A4042383ABC9B684C404A8D2C56B0825A404868B5CEA7684C4013B2D654AE825A4030A723BBC8684C40485B3F86F8825A40F9ABF7ADDE684C40F2C2D01FDF835A400D5C82DDD8694C408376D52BF1835A403B2E31EFE4694C40B598D833FD835A4078F38DFC1D6A4C408376D52BF1835A40E1241F6A396A4C403727334111845A40AF7E33B75E6A4C4087938A4619845A4001796FF0E86A4C402969CE19D6835A40ED40F3D92B6B4C4098B5C90DC4835A40C88E47A7076B4C40DF807106B9835A40C129263C0E6B4C40C6EF6F02B3835A408A2A94FB436B4C40B158988F06835A40D51156FCED6B4C40DF5DE67CEA825A40DD52E6E3CA6B4C409E163976E0825A40EF498078D16B4C407011EB88FC825A403DB17E4E086C4C40443E8A6BD0825A40F089AFAF506C4C40532EDC62C3825A4026EC9275596C4C40FA20D550A8825A401AE3C287216C4C40E18FD34CA2825A407F6AFD34296C4C40631E2E5AB6825A404F5EE96C646C4C40DF6FB3FA26825A406C34D21DC76C4C40DF3A5BF31B825A408B22F367CA6C4C40786FEFB9C5815A40DF3A2258BE6C4C409100F1BDCB815A404892AC24DE6C4C401616B1F41D825A405D37D065EC6C4C4061FE0D083B825A401826F80BDD6C4C40FC52C22060825A40A573D870BF6C4C404A8D2C56B0825A402304ACB5896C4C400714927FEE825A401BD02D54636C4C402FCA3D82F2825A4050B11E0B3E6C4C40CA1EF29A17835A40F1633E1C286C4C407463F8AA2F835A405A801815EF6B4C40AF26ABBF4E835A40E64A7D1DE46B4C4059A009D771835A4008E66257DB6B4C4012D561DE7C835A40E9495B70BA6B4C408156B5D975835A40BCC434CBA76B4C407BD2BAE78A835A40FC0BF4468B6B4C404DCD6CFAA6835A4093AB783E746B4C40511F7A1CDA835A408A2A94FB436B4C40F2C2D01FDF835A40B5DDAB4E5E6B4C40AB2C812EF5835A40B8F8151D5C6B4C40A5A8863C0A845A406B7D9177496B4C40A0248C4A1F845A4074E95FA0346B4C40687E8E5028845A402334AB7E1C6B4C40C70F90542E845A4077D1C5E0FE6A4C40310DE95D3C845A4072C1835BE26A4C409069925A37845A40FE0951D4A36A4C4040FD3A552F845A40DD9ED996686A4C40B4CD303B08845A40935F638FB3694C4010D8CC15D0835A40B9089A6A4C694C405780E984F6825A40AC59909D78684C401E224A23BB825A40D67AEF4616684C40AD0899B204825A407CDA7326F9674C40CBEF7C08E0805A40E0C2EF2B61684C40366324D084805A40E5F856FCDD684C406BB3B5C912805A4058842E072D694C40E9EEE6EF157F5A40242BFCC67A694C40
2;MULTIPOLYGON (((105.967972910118 56.8666326931916,105.983747870645 56.8739863968851,105.989663480843 56.8715141923605,105.994071190402 56.8740497845953,105.99743496875 56.873606068367,105.992795274477 56.8701829376013,106.005670426085 56.8649208477773,106.034088553506 56.8746202691511,106.035132484717 56.8741765596933,106.00694634201 56.8642868110728,106.017733631194 56.8595311931747,106.023881226106 56.8581995118127,106.025505119101 56.8587068245879,106.026317065599 56.8576287767173,106.021561378969 56.8536333872448,106.026317065599 56.8510964105713,106.024113210819 56.8487495540056,106.022373325467 56.8431672497763,105.975396420954 56.8350460481656,105.935843027278 56.835934390399,105.934451118996 56.8330789296442,105.938162874415 56.8333327571958,105.941062683335 56.82971555215,105.938974820912 56.8264153410201,105.925751692235 56.8240669367946,105.922851883314 56.8243842973209,105.917400242544 56.8345384145694,105.894433755893 56.837013063348,105.861143949485 56.8427231670997,105.861723911269 56.8447532163281,105.898377496025 56.8388530807742,105.950458064238 56.8376475623309,105.973308558531 56.8372668642315,105.975164436241 56.836568907662,105.994999129257 56.8398047784418,106.020865424828 56.8442457143427,106.022141340753 56.846656287489,106.019589508903 56.8477346515282,106.016689699983 56.8482421062073,106.01460183756 56.8475443542497,106.011702028639 56.8483055375583,106.003118594235 56.8470368901096,105.984327832429 56.8547749706313,105.983051916504 56.8548383909093,105.982819931791 56.8521746466746,105.978528214588 56.8523649204089,105.973540543245 56.8586434108672,105.975396420954 56.8592775432367,105.976672336879 56.8607360068932,105.978644206945 56.8617505567692,105.978992184016 56.8625114511181,105.967972910118 56.8666326931916)));0106000020E61000000100000001030000000100000034000000BA17A644F37D5A407F73F1D1ED6E4C4084FBA0B9F57E5A409CE247C9DE6F4C400A117FA5567F5A401718EDC68D6F4C40082BC5DC9E7F5A40D2F403DDE06F4C40C1AA7AF9D57F5A40999CDA52D26F4C4022E030F5897F5A4074448D27626F4C40BAA57DE75C805A40826AF1B9B56E4C407A9EC1812E825A401B36968EF36F4C40C038529C3F825A4001687B04E56F4C40A0F011CF71805A40FEF541F3A06E4C4020813D8C22815A40E2493E1E056E4C4046471F4587815A40E0564A7BD96D4C40D71A39E0A1815A40803AF01AEA6D4C40C304C62DAF815A40FD0D9EC7C66D4C40D361FA4261815A40BC7EDCDB436D4C40C304C62DAF815A40C89228BAF06C4C40A0F722128B815A406D794CD3A36C4C40BF4B87906E815A407A6C89E7EC6B4C4081281CE56C7E5A403DC3F5C9E26A4C40501627DAE47B5A40C52EEAE5FF6A4C4019F3100CCE7B5A407EE79254A26A4C40C3FB4BDC0A7C5A40B56BD5A5AA6A4C403B1AFA5E3A7C5A40C1BB841E346A4C4068E5D829187C5A40094C57FAC7694C406C9706843F7B5A40B59F7F067B694C40AE785801107B5A40232AB66C85694C406AC481AFB67A5A4067EA9E27D26A4C40EE7F14673E795A40C5B37A3E236B4C40ED0B83FB1C775A402B234D5ADE6B4C4038450C7C26775A40F6A896DF206C4C40F23853047F795A407A09AA895F6B4C40CA870F4ED47C5A4086E40A09386B4C40AFF3FAAF4A7E5A400BF3838F2B6B4C4027781818697E5A401EA1A1B0146B4C4044EDD310AE7F5A404E3715B97E6B4C403850EFDB55815A40ED715A3E106C4C401E9B83C36A815A40E8DBB43B5F6C4C4051055BF440815A40F2FFAD91826C4C40DAE6AC7111815A4011A08432936C4C4007B28B3CEF805A40B9B459557C6C4C404993DDB9BF805A40106A9E46956C4C40ED0F551833805A405DC36EB46B6C4C40CF342A3AFF7E5A4080262844696D4C40E8E99552EA7E5A400D292A586B6D4C408E399285E67E5A4050F90E0F146D4C4099F7CD34A07E5A40FAB4304B1A6D4C404FA4FE7C4E7E5A40DE4CFC06E86D4C4081281CE56C7E5A40C63179CEFC6D4C406873B0CC817E5A40470CF4982C6E4C40EACF4F1BA27E5A4017519DD74D6E4C40DA58D5CEA77E5A40277D75C6666E4C40BA17A644F37D5A407F73F1D1ED6E4C40
3;MULTIPOLYGON (((105.974120505029 56.8693588037604,105.973424550888 56.8690418243698,105.962869246417 56.8692954080972,105.957765582717 56.8679640743434,105.956257682079 56.8670764921754,105.95440180437 56.8623846364682,105.956025697365 56.8565506977804,105.955677720295 56.8545212884444,105.961477338136 56.8498912863944,105.963217223488 56.8517940963035,105.969016841329 56.8512866897883,105.97006077254 56.8501449999727,105.978180237518 56.8528723123034,105.978644206945 56.8525551931756,105.969132833686 56.8493838540775,105.971104703752 56.8486861234071,105.968668864259 56.8481152431826,105.960317414567 56.8492569949232,105.957649590361 56.8507792763928,105.960317414567 56.8500815717394,105.954285812013 56.8549652311428,105.954981766154 56.856740949262,105.953473865515 56.8621944136871,105.954517796726 56.8661254879041,105.953125888445 56.8660620867595,105.951501995449 56.8668862932558,105.948950163599 56.8673934882251,105.947674247674 56.8690418243698,105.949066155956 56.872972178906,105.951617987806 56.8737328449696,105.950574056594 56.8717677593219,105.952313941947 56.8707534811588,105.950226079524 56.8701829376013,105.950806041308 56.8684078575278,105.953241880801 56.8689150318612,105.955213750867 56.8682810628696,105.962173292277 56.8698659651966,105.974120505029 56.8693588037604)));0106000020E610000001000000010300000001000000260000009BDD87FD577E5A40FF513726476F4C40FFCB7C964C7E5A40224333C33C6F4C40DAEB54A69F7D5A40942B6A12456F4C4040C003084C7D5A4033B46072196F4C40FFC46B53337D5A400A83CC5CFC6E4C40CD404EEB147D5A40151AA99E626E4C405F1468862F7D5A40992A0974A36D4C40B48BE2D2297D5A4060CD1DF4606D4C40EAC83ED8887D5A40131CD83CC96C4C40CB74DA59A57D5A405346C596076D4C4000B2365F047E5A40971456F6F66C4C40464CC779157E5A40CEDE258DD16C4C40EF6E48819A7E5A40E58080EB2A6D4C40EACF4F1BA27E5A40B15C5087206D4C40518AB845067E5A40B481319CB86C4C40D3E65794267E5A401F4D34BFA16C4C405629B1ABFE7D5A40AB5A500A8F6C4C400D562CD7757D5A40158C0574B46C4C4036E881214A7D5A405E1CD855E66C4C400D562CD7757D5A40C9C61279CF6C4C407D68CC04137D5A40DA7C2D806F6D4C40197AD76B1E7D5A40B51CFBAFA96D4C40917E3FB7057D5A403DCAF4625C6E4C40D718D0D1167D5A40DC633233DD6E4C40E7F5B903007D5A400278591FDB6E4C400F22A068E57C5A4032714B21F66E4C40428C7799BB7C5A405758F4BF066F4C405C41E3B1A67C5A40224333C33C6F4C409364F97FBD7C5A400C5C678DBD6F4C4060FA214FE77C5A40F14A557AD66F4C40D35F9134D67C5A4054FFFF15966F4C40FB0B2DB6F27C5A40443A9ED9746F4C4029D70B81D07C5A4074448D27626F4C4074109501DA7C5A40EED519FD276F4C40F1CD3BEA017D5A405F6C969B386F4C40732ADB38227D5A406A6178D5236F4C4085DA493F947D5A40213698C4576F4C409BDD87FD577E5A40FF513726476F4C40
4;MULTIPOLYGON (((105.98247195472 56.8550920709463,105.984327832429 56.8553457492633,105.987807603134 56.8499547149503,106.005786418441 56.8437382054763,106.008222257935 56.8420253122491,106.00729431908 56.841708101198,106.005554433728 56.8428500484021,105.986995656636 56.8493204245541,105.98247195472 56.8550920709463)));0106000020E610000001000000010300000001000000090000009DB00CD2E07E5A4042E42FA8736D4C40CF342A3AFF7E5A40E3ED31F87B6D4C40D88C613D387F5A4072E5EB50CB6C4C40C47DFFCD5E805A4006740F9DFF6B4C40873BA6B686805A40CD41457CC76B4C404B79978277805A403BB64F17BD6B4C4069CDFB005B805A40D6A8A882E26B4C40ECA2D4EF2A7F5A4071A41B88B66C4C409DB00CD2E07E5A4042E42FA8736D4C40
5;MULTIPOLYGON (((105.935959019635 56.814989287588,105.935611042564 56.8153067250183,105.936770966133 56.8165129627288,105.939206805626 56.8163225067245,105.938742836199 56.8156876463851,105.939090813269 56.8151162628828,105.937466920274 56.8144178934367,105.935959019635 56.814989287588)));0106000020E61000000100000001030000000100000008000000A1EEA8C0E67B5A40F163A89151684C40B065230DE17B5A40CC1484F85B684C408CD8350EF47B5A4013D72B7F83684C400996DCF61B7C5A406BAF82417D684C400E35D55C147C5A40D47CEA7368684C40B9BD5A101A7C5A407BC2CDBA55684C4028EA4075FF7B5A403ECB74D83E684C40A1EEA8C0E67B5A40F163A89151684C40
6;MULTIPOLYGON (((105.993027259191 56.812449691335,105.993491228618 56.8137830008276,105.993723213332 56.8145448706678,105.996159052825 56.8154336992375,105.998014930534 56.8148623118629,105.997666953464 56.8129576243544,105.996043060468 56.812830641745,105.995811075755 56.8121322297019,105.99453515983 56.8114972983679,105.993027259191 56.812449691335)));0106000020E6100000010000000103000000010000000A000000C29034C28D7F5A40EDF6FA59FE674C40BDF13B5C957F5A40324C970A2A684C405EA23F29997F5A4046529E0143684C40DB5FE611C17F5A400424A72160684C400CE4037ADF7F5A40D91882684D684C40625B7EC6D97F5A4068D1D4FE0E684C408A87642BBF7F5A40A1BD9FD50A684C4030D7605EBB7F5A40724CEBF2F3674C40498CCC76A67F5A4028A4BA24DF674C40C29034C28D7F5A40EDF6FA59FE674C40
7;MULTIPOLYGON (((105.893389824681 56.8206392717792,105.88979406162 56.8287001335442,105.892113908756 56.8292078462885,105.896289633602 56.8252728924905,105.898725473095 56.8214010022197,105.893389824681 56.8206392717792)));0106000020E6100000010000000103000000010000000600000061E5834C2D795A406E0D29B50A694C404EB5CA62F2785A40B0E191D8126A4C407B9AEF6418795A40A6B2927B236A4C401F0432CF5C795A40D2C2C98AA2694C409CC1D8B784795A40B6B704AB23694C4061E5834C2D795A406E0D29B50A694C40
8;MULTIPOLYGON (((105.858708109992 56.8274308215714,105.863579788978 56.8284462745911,105.865551659044 56.8256537125387,105.862883834837 56.8247651264033,105.861723911269 56.8260345287153,105.859288071776 56.8261614665804,105.858708109992 56.8274308215714)));0106000020E61000000100000001030000000100000007000000704EDC12F5765A40002DCF40E9694C406AC929E444775A4050EE0B870A6A4C40EC25C93265775A405D965605AF694C40CFB71E7D39775A40496456E791694C4038450C7C26775A407819DB7FBB694C40BC876593FE765A40D016B0A8BF694C40704EDC12F5765A40002DCF40E9694C40
9;MULTIPOLYGON (((104.541935312135 52.1091745345692,104.54284141287 52.1101285068362,104.546120634575 52.1083795420886,104.55315370218 52.1146066038401,104.556519219193 52.1134937459939,104.552118158483 52.109731020872,104.548148574314 52.1046958919473,104.547458211849 52.1029202108903,104.544610466684 52.100402332973,104.544610466684 52.0994481526236,104.542409936329 52.0986264809662,104.537879432657 52.0964529539329,104.536628150691 52.0965059680474,104.533262633678 52.0983349164171,104.532011351711 52.0996336892902,104.532227089981 52.100932424347,104.535031687492 52.1035032781379,104.536930184269 52.1043248599576,104.541935312135 52.1091745345692)));0106000020E61000000100000001030000000100000013000000B68A7211AF225A40EFC35F6EF90D4A403BCCE8E9BD225A40019CDFB0180E4A40E84AF6A3F3225A40BA697E61DF0D4A409021C9DE66235A400EB3DF6DAB0E4A40E281C9029E235A4013AC8BF6860E4A40958D66E755235A403F0085AA0B0E4A40C501C2DD14235A4038F8CBAC660D4A405CF42A8E09235A4085EF4D7D2C0D4A40E5DDDBE5DA225A40D347D0FBD90C4A40E5DDDBE5DA225A403F9591B7BA0C4A40BE632AD8B6225A407C22E3CA9F0C4A40FB1CDB9D6C225A40495F0592580C4A402C55991D58225A40F350BC4E5A0C4A40DBF498F920225A407E08113D960C4A40C52C57790C225A40668AF6CBC00C4A40E060360210225A4093D68A5AEB0C4A4084068CF53D225A40C7506D983F0D4A40EB6A6B105D225A40BED65A845A0D4A40B68A7211AF225A40EFC35F6EF90D4A40
