poryadkovy_nomer;tip;razryad;ugms;imya_stancii;repernayavekovay;sinopticheski_in;obshhesoyuzny_no;obshhesoyuzny_no1;obshhesoyuzny_no2;shirota;dolgota;raznost_mezhdu_p;territorialny_ko;cgms;status_sete_klim;priznak_proveden;priznak_proveden1;status_sete_gidr;status_sete_mors;status_sete_agro;priznak_proveden2;priznak_proveden3;priznak_proveden4;priznak_proveden5;stanciya_zakonse;data_zakrytiya_s;id;is_deleted;classname;created_by;edited_by;edited_on;created_on;published;point;kontroliruemye_p;vidy_informacion;vidy_infyx_resur;nablyudaemye_pok;periodichnost_ot
4715;Гидрологический пост;1;ФГБУ Забайкальское УГМС;ЧИРОН-р.Онон;1;;513811547;;;51.63;115.78;6;175;Отсутствует;1;0;0;2;0;0;0;0;0;1;0;;1;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:50.920165;2021-02-26 17:10:50.920165+08;f;0104000020E610000001000000010100000052B81E85EBF15C40713D0AD7A3D04940;;;;;
4674;Гидрологический пост;1;ФГБУ Забайкальское УГМС;НАУШКИ-р.Селенга;1;;502310607;;;50.40;106.10;5;104;Бурятский ЦГМС;1;0;0;2;0;0;0;0;0;1;0;;2;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:50.970134;2021-02-26 17:10:50.970134+08;f;0104000020E61000000100000001010000006666666666865A403333333333334940;;;;;
34114;Пристанционный гидрологический пост;3;ФГБУ Иркутское УГМС;Верхнеокинский;0;;;;;53.75;101.53333333333333;5;;Отсутствует;0;0;0;3;0;0;0;0;0;1;;;4;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.038268;2021-02-26 17:10:51.038268+08;f;0104000020E610000001000000010100000022222222226259400000000000E04A40;;;;;
4697;Пристанционный гидрологический пост;1;ФГБУ Забайкальское УГМС;ТЫЯ (ГП ПРИ ТРОИЦКИЙ ПРИИСК М)-р.Тыя;1;;;;;55.75;109.32;5;104;Бурятский ЦГМС;1;0;0;2;0;0;0;0;0;1;0;;5;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.071252;2021-02-26 17:10:51.071252+08;f;0104000020E610000001000000010100000014AE47E17A545B400000000000E04B40;;;;;
4618;Аэрологическая станция;0;ФГБУ Забайкальское УГМС;УСТЬ-БАРГУЗИН;0;30635;5340891;;;53.42;109.02;5;104;Бурятский ЦГМС;3;0;1;0;0;0;0;0;0;1;0;;6;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.089263;2021-02-26 17:10:51.089263+08;f;0104000020E6100000010000000101000000E17A14AE47415B40F6285C8FC2B54A40;;;;;
31630;Гидрологический пост;1;ФГБУ Забайкальское УГМС;Нестериха-р.Нестериха;0;;;;;53.65;109.7;5;;Бурятский ЦГМС;0;0;0;3;0;0;0;0;0;0;;;7;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.108135;2021-02-26 17:10:51.108135+08;f;0104000020E6100000010000000101000000CDCCCCCCCC6C5B403333333333D34A40;;;;;
4856;Гидрологическая станция;1;ФГБУ Иркутское УГМС;МАМАКАН;1;30252;5781401;;;57.81;114.01;5;138;Отсутствует;2;0;0;3;0;0;0;1;0;1;0;;8;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.128282;2021-02-26 17:10:51.128282+08;f;0104000020E6100000010000000101000000713D0AD7A3805C4048E17A14AEE74C40;;;;;
5033;Пост наблюдения за загрязнением природной среды;0;ФГБУ Иркутское УГМС;СЛЮДЯНКА №1;0;;;;;51.65;103.73;5;138;Байкальский ЦГМС;0;0;0;0;0;0;0;0;0;1;0;;9;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.144861;2021-02-26 17:10:51.144861+08;f;0104000020E61000000100000001010000001F85EB51B8EE59403333333333D34940;;;;;
4625;Объединенная гидрометеорологическая станция;0;ФГБУ Забайкальское УГМС;БАГДАРИН;1;30554;5451361;;;54.43;113.58;5;104;Бурятский ЦГМС;2;0;1;1;0;0;0;1;0;1;0;;10;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.161109;2021-02-26 17:10:51.161109+08;f;0104000020E610000001000000010100000085EB51B81E655C40D7A3703D0A374B40;;;;;
4576;Метеорологическая станция;3;ФГБУ Забайкальское УГМС;САНАГА;0;30911;5070281;;30911;50.72;102.78;5;104;Бурятский ЦГМС;3;0;0;0;0;0;0;0;0;0;0;;11;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.178391;2021-02-26 17:10:51.178391+08;f;0104000020E610000001000000010100000052B81E85EBB159405C8FC2F5285C4940;;;;;
4613;Метеорологическая станция;2;ФГБУ Забайкальское УГМС;ПРИАРГУНСК;0;30975;5031911;;30975;50.34927777777778;119.07977777777778;6;175;Отсутствует;3;0;0;0;0;2;0;0;0;1;0;;13;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.212629;2021-02-26 17:10:51.212629+08;f;0104000020E610000001000000010100000033A040141BC55D4037635C22B52C4940;;;;;
6214;Объединенная гидрометеорологическая станция;0;ФГБУ Забайкальское УГМС;МОГОЧА;1;30673;5371981;;;53.75;119.73;6;175;Отсутствует;2;0;1;1;0;0;0;0;0;1;0;;15;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.245822;2021-02-26 17:10:51.245822+08;f;0104000020E61000000100000001010000001F85EB51B8EE5D400000000000E04A40;;;;;
4977;Озерный гидрометеорологический пост;1;ФГБУ Иркутское УГМС;БЫКОВО;0;;5331103201;;;53.51;103.33;5;138;Отсутствует;1;0;0;3;0;0;0;0;0;1;0;;17;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.287395;2021-02-26 17:10:51.287395+08;f;0104000020E610000001000000010100000085EB51B81ED55940E17A14AE47C14A40;;;;;
