"Местное время в Алыгджере";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2017 20:00";"-8.7";"686.5";"771.8";"";"56";"Ветер, дующий с юго-запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-8.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-15.9";"Осадков нет";"12";"";"";"";"";
"30.12.2017 14:00";"-8.5";"686.0";"771.4";"";"54";"Ветер, дующий с юго-юго-востока";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"-16.2";"";"";"";"";"";"";
"30.12.2017 08:00";"-11.2";"687.3";"773.6";"";"61";"Ветер, дующий с севера";"4";"";"";"100%.";" ";"";"";"-15.8";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"1000-1500";"Высокослоистые просвечивающие.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-17.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"7.0";
"29.12.2017 14:00";"-17.0";"693.1";"782.2";"";"95";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-17.6";"";"";"";"";"";"";
"29.12.2017 08:00";"-25.5";"692.8";"785.2";"";"95";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-26.0";"";"";"";"";"";"";"50.0";"-26.1";"0.2";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"13.0";
"29.12.2017 02:00";"-14.5";"690.2";"778.1";"";"100";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высокослоистые просвечивающие.";"";"50.0";"-14.5";"";"";"";"";"";"";
"28.12.2017 20:00";"-7.4";"687.7";"772.7";"";"98";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-6.3";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высокослоистые просвечивающие.";"";"4.0";"-7.6";"5.0";"12";"";"";"";"";
"28.12.2017 14:00";"-8.0";"684.3";"769.0";"";"98";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"2.0";"-8.2";"";"";"";"";"";"";
"28.12.2017 08:00";"-11.4";"681.2";"766.9";"";"100";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-14.7";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-11.4";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"Снежный покров не постоянный.";
"28.12.2017 02:00";"-12.4";"680.6";"766.5";"";"100";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-12.4";"";"";"";"";"";"";
"27.12.2017 20:00";"-12.6";"688.5";"767.0";"";"100";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-7.7";"";"";"";"";"";"50.0";"-12.6";"Осадков нет";"12";"";"";"";"";
"27.12.2017 14:00";"-8.0";"680.4";"764.7";"";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"1000-1500";"Высокослоистые просвечивающие.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-10.3";"";"";"";"";"";"";
"27.12.2017 08:00";"-8.8";"679.9";"764.4";"";"83";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-8.9";"";"";"";"";"";"";"50.0";"-11.2";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"Снежный покров не постоянный.";
"27.12.2017 02:00";"-12.8";"677.8";"760.1";"";"";"Ветер, дующий с юга";"2";"";"10";"40%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"";"";"";"";"";"";"";
"26.12.2017 20:00";"-1.1";"675.7";"757.3";"";"40";"Ветер, дующий с юга";"4";"";"10";"100%.";" ";"";"";"";"0.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-13.1";"Осадков нет";"12";"";"";"";"";
"26.12.2017 14:00";"-0.5";"674.8";"756.1";"";"35";"Ветер, дующий с юга";"6";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"50.0";"-14.3";"";"";"";"";"";"";
"26.12.2017 08:00";"-10.2";"675.4";"759.8";"";"60";"Ветер, дующий с юго-юго-востока";"6";"";"";"40%.";" ";"";"";"-10.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-16.5";"Осадков нет";"12";"";"";"Сухой рассыпчатый снег покрывает меньше половины поверхности почвы.";"Снежный покров не постоянный.";
"26.12.2017 02:00";"-10.5";"678.3";"763.2";"";"65";"Ветер, дующий с юго-юго-востока";"6";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-15.8";"";"";"";"";"";"";
"25.12.2017 20:00";"-8.0";"681.2";"765.7";"";"61";"Ветер, дующий с юго-востока";"4";"";"";"Облаков нет.";" ";"";"";"";"-6.5";"";"";"";"";"";"50.0";"-14.2";"Осадков нет";"12";"";"";"";"";
"25.12.2017 14:00";"-12.0";"683.2";"769.3";"";"81";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-14.7";"";"";"";"";"";"";
"25.12.2017 08:00";"-14.3";"684.9";"772.0";"";"95";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"-14.4";"";"";"";"";"";"";"50.0";"-14.9";"Осадков нет";"12";"";"";"Сухой рассыпчатый снег покрывает меньше половины поверхности почвы.";"Снежный покров не постоянный.";
"25.12.2017 02:00";"-7.0";"685.2";"769.9";"";"64";"Ветер, дующий с юго-юго-востока";"4";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-12.7";"";"";"";"";"";"";
"24.12.2017 20:00";"-6.2";"685.9";"770.4";"";"61";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"-5.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-12.6";"Осадков нет";"12";"";"";"";"";
"24.12.2017 14:00";"-8.0";"686.2";"771.3";"";"64";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"50.0";"-13.7";"";"";"";"";"";"";
"24.12.2017 08:00";"-8.3";"685.7";"770.9";"";"63";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"-8.9";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-14.1";"Осадков нет";"12";"";"";"Сухой рассыпчатый снег покрывает меньше половины поверхности почвы.";"Снежный покров не постоянный.";
"24.12.2017 02:00";"-8.0";"678.7";"771.4";"";"53";"Ветер, дующий с юга";"6";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-16.0";"";"";"";"";"";"";
"23.12.2017 20:00";"-8.9";"687.2";"772.8";"";"44";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"-7.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-19.0";"Осадков нет";"12";"";"";"";"";
"23.12.2017 14:00";"-7.7";"687.1";"772.3";"";"43";"Ветер, дующий с юга";"6";"10";"10";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-18.3";"";"";"";"";"";"";
"23.12.2017 08:00";"-9.2";"686.2";"771.7";"";"40";"Ветер, дующий с юга";"4";"";"";"100%.";" ";"";"";"-9.4";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-20.4";"Осадков нет";"12";"";"";"Сухой рассыпчатый снег покрывает меньше половины поверхности почвы.";"Снежный покров не постоянный.";
"23.12.2017 02:00";"-7.8";"685.1";"770.0";"";"40";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-19.3";"";"";"";"";"";"";
"22.12.2017 14:00";"-5.1";"684.2";"768.1";"";"37";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-17.5";"";"";"";"";"";"";
"22.12.2017 08:00";"-4.8";"683.8";"767.6";"";"34";"Ветер, дующий с юга";"4";"";"";"100%.";" ";"";"";"-4.9";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-18.3";"Осадков нет";"12";"";"";"Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).";"Снежный покров не постоянный.";
"22.12.2017 02:00";"-4.0";"683.8";"767.3";"";"31";"Ветер, дующий с юга";"4";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"50.0";"-18.9";"";"";"";"";"";"";
"21.12.2017 20:00";"-4.1";"684.1";"767.8";"";"32";"Ветер, дующий с юго-юго-востока";"6";"";"10";"100%.";" ";"";"";"";"-2.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-18.3";"Осадков нет";"12";"";"";"";"";
"21.12.2017 14:00";"-3.8";"684.1";"767.7";"";"27";"Ветер, дующий с юго-юго-востока";"10";"14";"14";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"50.0";"-20.1";"";"";"";"";"";"";
"21.12.2017 08:00";"-6.5";"683.7";"768.1";"";"39";"Ветер, дующий с юго-юго-востока";"6";"";"10";"40%.";" ";"";"";"-8.9";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-18.2";"Осадков нет";"12";"";"";"Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).";"Снежный покров не постоянный.";
"21.12.2017 02:00";"-7.6";"684.1";"768.9";"";"49";"Ветер, дующий с юго-юго-востока";"10";"14";"14";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-16.6";"";"";"";"";"";"";
"20.12.2017 20:00";"-7.5";"684.8";"769.6";"";"49";"Ветер, дующий с востоко-юго-востока";"6";"10";"10";"40%.";" ";"";"";"";"-5.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-16.5";"Осадков нет";"12";"";"";"";"";
"20.12.2017 14:00";"-7.5";"685.9";"770.8";"";"52";"Ветер, дующий с юго-востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-15.8";"";"";"";"";"";"";
"20.12.2017 08:00";"-12.4";"688.2";"775.2";"";"55";"Ветер, дующий с юго-востока";"6";"";"14";"Облаков нет.";" ";"";"";"-12.5";"";"";"";"";"";"";"50.0";"-19.6";"Осадков нет";"12";"";"";"Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).";"Менее 0.5";
"19.12.2017 14:00";"-4.1";"693.5";"778.3";"";"48";"Ветер, дующий с юго-юго-востока";"8";"10";"12";"100%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"1000-1500";"Высокослоистые просвечивающие.";"";"50.0";"-13.6";"";"";"";"";"";"";
"19.12.2017 08:00";"-4.6";"693.1";"778.0";"";"51";"Ветер, дующий с юго-юго-востока";"6";"10";"10";"100%.";" ";"";"";"-5.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высокослоистые просвечивающие.";"";"50.0";"-13.3";"Следы осадков";"12";"";"";"Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).";"Менее 0.5";
"19.12.2017 02:00";"-4.9";"693.2";"778.1";"";"57";"Ветер, дующий с юга";"4";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"50.0";"-12.2";"";"";"";"";"";"";
"18.12.2017 20:00";"-3.1";"693.1";"776.6";"";"43";"Ветер, дующий с юго-юго-востока";"4";"";"10";"100%.";" ";"";"";"";"-2.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"50.0";"-14.1";"Осадков нет";"12";"";"";"";"";
"18.12.2017 14:00";"-3.6";"692.8";"777.2";"";"56";"Ветер, дующий с юга";"6";"10";"10";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-11.1";"";"";"";"";"";"";
"18.12.2017 08:00";"-4.8";"692.8";"777.7";"";"53";"Ветер, дующий с западо-юго-запада";"8";"10";"10";"100%.";" ";"";"";"-6.6";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-13.1";"Осадков нет";"12";"";"";"Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).";"Менее 0.5";
"18.12.2017 02:00";"-5.9";"694.5";"780.0";"";"57";"Ветер, дующий с западо-юго-запада";"8";"10";"10";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-13.2";"";"";"";"";"";"";
"17.12.2017 20:00";"-6.6";"694.7";"780.4";"";"60";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"-6.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"50.0";"-13.2";"Следы осадков";"12";"";"";"";"";
"17.12.2017 14:00";"-6.5";"694.6";"780.1";"";"68";"Ветер, дующий с юго-востока";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-11.5";"";"";"";"";"";"";
"17.12.2017 08:00";"-7.5";"692.1";"777.7";"";"74";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-7.6";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"-11.4";"0.3";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"1.0";
