Местное время в Алыгджере;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
16.01.2017 11:00;-20.5;690.0;780.1;;95;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10.0;-21.1;;;;;;
16.01.2017 17:00;-14.5;688.7;776.3;;80;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-17.2;;;;;;
19.01.2017 11:00;-12.2;687.9;774.7;;45;Ветер, дующий с юго-юго-запада;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-21.7;;;;;;
19.01.2017 17:00;-10.0;686.4;772.2;;43;Ветер, дующий с юга;4;;10;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-20.3;;;;;;
19.01.2017 23:00;-12.8;688.0;775.0;;45;Ветер, дующий с юга;6;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-22.3;;;;;;
20.01.2017 5:00;-15.6;689.1;777.3;;50;Ветер, дующий с юго-востока;4;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-23.7;;;;;;
20.01.2017 11:00;-18.0;691.0;780.2;;61;Ветер, дующий с юго-юго-востока;6;;;Облаков нет.; ;;;-19.5;;;;;;;50.0;-23.8;;;;;;
20.01.2017 17:00;-12.0;690.5;777.7;;45;Ветер, дующий с юго-юго-востока;6;10;10;Облаков нет.; ;;;;;;;;;;50.0;-21.5;;;;;;
20.01.2017 23:00;-15.6;690.6;778.9;;50;Ветер, дующий с юго-востока;6;10;10;Облаков нет.; ;;;;;;;;;;;-23.7;;;;;;
21.01.2017 5:00;-18.5;689.9;779.2;;60;Ветер, дующий с юго-востока;6;10;10;Облаков нет.; ;;;;;;;;;;;-24.4;;;;;;
21.01.2017 17:00;-9.0;687.1;772.7;;47;Ветер, дующий с юго-востока;6;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-18.4;;;;;;
22.01.2017 5:00;-13.9;684.8;771.8;;60;Ветер, дующий с юго-востока;4;;10;Облаков нет.; ;;;;;;;;;;;-20.0;;;;;;
22.01.2017 11:00;-11.5;684.9;771.1;;56;Ветер, дующий с юго-востока;4;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-18.7;;;;;;
22.01.2017 17:00;-4.0;685.8;769.5;;44;Ветер, дующий с юга;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-14.6;;;;;;
22.01.2017 23:00;-8.8;687.1;772.6;;61;Ветер, дующий с юга;4;;;Облаков нет.; ;;;;;;;;;;;-15.0;;;;;;
