Местное время в Ангарске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
08.01.2017 11:00;-23.2;737.2;782.2;;77;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;-27.4;;;;;;;50.0;-26.2;;;;;;
08.01.2017 17:00;-19.3;734.1;778.3;;67;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-23.9;;;;;;
09.01.2017 11:00;-26.9;738.1;784.0;;72;Штиль, безветрие;0;;;20–30%.; ;;;-29.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-30.4;;;;;;
09.01.2017 17:00;-22.9;737.2;782.2;;69;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-27.0;;;;;;
10.01.2017 11:00;-27.1;732.4;778.0;;74;Штиль, безветрие;0;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20.0;-30.4;;;;;;
10.01.2017 17:00;-24.2;733.6;778.6;;70;Ветер, дующий с северо-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-28.1;;;;;;
11.01.2017 11:00;-24.7;730.9;775.9;;73;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-слоистые, покрывающие все небо.;20.0;-28.1;;;;;;
11.01.2017 17:00;-20.0;729.2;773.2;;59;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-26.0;;;;;;
11.01.2017 23:00;-27.9;730.3;775.8;;76;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-30.8;;;;;;
12.01.2017 5:00;-30.1;729.7;775.7;;73;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-33.4;;;;;;
12.01.2017 11:00;-21.1;729.6;773.8;;78;Ветер, дующий с востоко-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;-23.9;;;;;;
12.01.2017 17:00;-16.2;728.3;771.6;;71;Ветер, дующий с востока;4;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-20.3;;;;;;
12.01.2017 23:00;-19.9;728.6;772.6;;81;Ветер, дующий с востока;4;;;Облаков нет.; ;;;;;;;;;;;-22.3;;;;;;
13.01.2017 5:00;-20.0;729.2;773.2;;75;Ветер, дующий с востока;4;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-23.3;;;;;;
13.01.2017 11:00;-19.7;730.5;774.5;;70;Ветер, дующий с востоко-юго-востока;3;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-23.8;;;;;;
13.01.2017 17:00;-16.6;730.4;773.9;;66;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;;50.0;-21.5;;;;;;
13.01.2017 23:00;-15.7;730.3;773.6;;70;Ветер, дующий с востока;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-19.9;;;;;;
14.01.2017 5:00;-17.6;730.1;773.8;;73;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;;;-21.3;;;;;;
14.01.2017 17:00;-13.8;731.6;774.7;;81;Ветер, дующий с северо-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-16.4;;;;;;
14.01.2017 23:00;-16.3;732.7;776.2;;85;Ветер, дующий с запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-18.2;;;;;;
15.01.2017 5:00;-18.3;732.4;776.4;;84;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-20.3;;;;;;
15.01.2017 11:00;-15.2;731.8;775.2;;83;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-17.5;;;;;;
15.01.2017 17:00;-14.3;731.2;774.4;;81;Ветер, дующий с севера;1;;;90  или более, но не 100%;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-16.9;;;;;;
15.01.2017 23:00;-18.6;732.5;776.5;;84;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-20.6;;;;;;
16.01.2017 5:00;-21.7;733.9;778.4;;82;Ветер, дующий с западо-юго-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-24.0;;;;;;
16.01.2017 11:00;-19.7;735.4;779.5;;81;Ветер, дующий с запада;1;;;90  или более, но не 100%;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;20.0;-22.1;;;;;;
16.01.2017 17:00;-18.3;734.8;778.8;;77;Ветер, дующий с северо-северо-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-21.3;;;;;;
16.01.2017 23:00;-24.2;735.0;780.1;;80;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-26.7;;;;;;
17.01.2017 5:00;-23.9;734.9;780.0;;79;Штиль, безветрие;0;;;90  или более, но не 100%;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-26.5;;;;;;
17.01.2017 17:00;-18.9;737.3;781.6;;77;Ветер, дующий с северо-северо-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-22.0;;;;;;
17.01.2017 23:00;-20.0;739.9;784.6;;80;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-22.6;;;;;;
18.01.2017 5:00;-22.7;741.2;786.4;;81;Ветер, дующий с запада;1;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-25.1;;;;;;
18.01.2017 11:00;-22.7;741.5;786.8;;75;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;-28.2;;;;;;;50.0;-26.0;;;;;;
18.01.2017 17:00;-20.0;739.3;783.9;;73;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-23.7;;;;;;
18.01.2017 23:00;-27.3;737.5;783.4;;79;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-29.8;;;;;;
19.01.2017 5:00;-29.6;735.2;781.4;;73;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-32.9;;;;;;
19.01.2017 17:00;-17.6;728.8;772.4;;76;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-20.8;;;;;;
19.01.2017 23:00;-18.0;731.8;775.6;;83;Ветер, дующий с запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-20.2;;;;;;
20.01.2017 5:00;-17.9;733.2;777.1;;85;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Снег и/или другие виды твердых осадков;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-19.8;;;;;;
20.01.2017 11:00;-16.9;734.8;778.6;;85;Ветер, дующий с запада;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;20.0;-18.8;;;;;;
20.01.2017 17:00;-15.6;735.6;779.2;;72;Ветер, дующий с северо-запада;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-19.6;;;;;;
20.01.2017 23:00;-26.3;736.7;782.4;;77;Ветер, дующий с юго-юго-востока;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-29.1;;;;;;
21.01.2017 5:00;-26.7;735.7;781.3;;79;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-29.2;;;;;;
