Местное время в Баяндае;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.01.2017 2:00;-19.5;697.8;772.3;-0.1;90;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;20.0;-20.7;;;;;;
01.01.2017 5:00;-20.0;697.6;772.3;-0.2;90;Штиль, безветрие;0;;;Облаков нет.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;;;;;;10.0;-21.2;;;;;;
01.01.2017 8:00;-21.2;697.4;772.6;-0.2;90;Ветер, дующий с северо-северо-востока;1;;;70 – 80%.;Облака в целом образовывались или развивались. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-22.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-22.4;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
01.01.2017 11:00;-18.7;697.3;771.6;-0.1;90;Ветер, дующий с северо-востока;1;;;100%.; ;;;-23.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-19.9;;;;;;
01.01.2017 14:00;-16.0;695.8;769.2;-1.5;90;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-17.3;;;;;;
01.01.2017 17:00;-15.4;695.0;768.1;-0.8;90;Ветер, дующий с северо-северо-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.7;;;;;;
01.01.2017 20:00;-15.3;694.4;767.3;-0.6;95;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;-13.1;;;;;;50.0;-15.9;Осадков нет;12;;;;
01.01.2017 23:00;-19.1;693.1;767.0;-1.3;90;Ветер, дующий с северо-востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-20.3;;;;;;
02.01.2017 2:00;-19.9;692.1;766.2;-1.0;90;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-21.1;;;;;;
02.01.2017 5:00;-23.0;690.2;765.1;-1.9;89;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-24.3;;;;;;
02.01.2017 8:00;-22.8;688.6;763.1;-1.6;90;Ветер, дующий с северо-востока;1;;;90  или более, но не 100%; ;;;-24.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-24.0;;;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
02.01.2017 11:00;-20.0;688.1;761.8;-0.5;90;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-21.2;;;;;;
02.01.2017 14:00;-11.9;687.3;758.5;-0.8;95;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-12.5;;;;;;
02.01.2017 17:00;-13.2;687.6;759.2;0.3;95;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.8;;;;;;
02.01.2017 20:00;-12.0;688.0;759.3;0.4;95;Штиль, безветрие;0;;;100%.; ;;;;-10.7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-12.6;Осадков нет;12;;;;
02.01.2017 23:00;-13.4;689.2;761.1;01.фев;90;Ветер, дующий с запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;50.0;-14.7;;;;;;
03.01.2017 2:00;-11.0;690.4;761.7;01.фев;95;Штиль, безветрие;0;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.6;;;;;;
03.01.2017 5:00;-13.9;691.8;764.0;01.апр;95;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-14.5;;;;;;
03.01.2017 8:00;-14.7;692.1;764.7;0.3;95;Штиль, безветрие;0;;;Облаков нет.; ;;;-16.8;;;;;;;50.0;-15.3;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
03.01.2017 11:00;-13.1;692.0;764.1;-0.1;95;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.7;;;;;;
03.01.2017 14:00;-7.3;690.9;761.2;-1.1;79;Ветер, дующий с запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-10.3;;;;;;
03.01.2017 17:00;-10.6;691.6;763.0;0.7;80;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.4;;;;;;
03.01.2017 20:00;-7.6;693.1;763.6;01.май;57;Штиль, безветрие;0;;;20–30%.; ;;;;-7.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.8;Осадков нет;12;;;;
03.01.2017 23:00;-8.8;693.9;764.9;0.8;68;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.7;;;;;;
04.01.2017 2:00;-8.0;694.8;765.7;0.9;67;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.1;;;;;;
04.01.2017 5:00;-11.9;694.9;766.9;0.1;85;Ветер, дующий с севера;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.9;;;;;;
