Местное время на Большом Ушканьем о.;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
19.01.2017 14:00;-17.9;731.0;;;80;Ветер, дующий с запада;3;;;100%.; ;;;;;;;;;;20.0;;;;;;;
19.01.2017 20:00;-19.6;729.0;;;85;Ветер, дующий с севера;1;;;100%.; ;;;;-17.9;;;;;;;;Следы осадков;;;;;
20.01.2017 2:00;-17.0;727.0;;;80;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;;;;;;;;;;;;;
20.01.2017 8:00;-17.7;729.0;;;85;Ветер, дующий с севера;3;;;100%.; ;;;-19.6;;;;;;;;;Следы осадков;;;;;
20.01.2017 14:00;-16.9;730.0;;;80;Ветер, дующий с севера;3;;;100%.; ;;;;;;;;;;50.0;;;;;;;
20.01.2017 20:00;-20.4;733.0;;;90;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;-16.5;;;;;;;;;;;;;
21.01.2017 2:00;-20.6;734.0;;;85;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
21.01.2017 8:00;-22.2;735.0;;;84;Ветер, дующий с севера;2;;;Облаков нет.; ;;;-23.3;;;;;;;;;;;;;;
21.01.2017 14:00;-20.2;735.0;;;85;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
21.01.2017 20:00;-22.5;735.0;;;85;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;-20.2;;;;;;;;;;;;;
22.01.2017 2:00;-23.9;734.0;;;85;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
22.01.2017 8:00;-22.8;732.0;;;84;Ветер, дующий с севера;3;;;Облаков нет.; ;;;-24.2;;;;;;;;;;;;;;
22.01.2017 14:00;-20.9;732.0;;;80;Ветер, дующий с северо-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
22.01.2017 20:00;-22.2;733.0;;;79;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;-20.9;;;;;;;;;;;;;
23.01.2017 2:00;;733.0;;;;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
23.01.2017 8:00;;734.0;;;;Ветер, дующий с северо-востока;1;;;Облаков нет.; ;;;-24.3;;;;;;;;;;;;;;
23.01.2017 14:00;-19.8;733.0;;;80;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
