"Местное время в Бохане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2019 14:00";"-14.4";"725.8";"769.6";"";"61";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-20.4";"";"";"";"";"";"";
"31.12.2019 11:00";"-20.7";"726.0";"770.8";"";"74";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-24.1";"";"";"";"";"";"";
"31.12.2019 08:00";"-22.8";"725.9";"771.1";"";"75";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"-28.4";"";"";"";"";"";"";"";"-26.0";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0";
"31.12.2019 05:00";"-26.4";"727.0";"772.9";"";"74";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-29.7";"";"";"";"";"";"";
"31.12.2019 02:00";"-28.3";"728.3";"774.7";"";"73";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-31.6";"";"";"";"";"";"";
"30.12.2019 23:00";"-26.7";"729.3";"775.6";"";"76";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-29.6";"";"";"";"";"";"";
"30.12.2019 20:00";"-25.2";"729.8";"775.7";"";"73";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-15.1";"";"";"";"";"";"";"-28.6";"Осадков нет";"12";"";"";"";"";
"30.12.2019 17:00";"-22.4";"729.2";"774.6";"";"68";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-26.7";"";"";"";"";"";"";
"30.12.2019 14:00";"-15.4";"728.5";"772.6";"";"51";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-23.3";"";"";"";"";"";"";
"30.12.2019 11:00";"-23.4";"729.4";"774.9";"";"74";"Ветер, дующий с юга";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-26.7";"";"";"";"";"";"";
"30.12.2019 08:00";"-28.7";"729.4";"776.1";"";"72";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-36.3";"";"";"";"";"";"";"";"-32.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0";
"30.12.2019 05:00";"-26.6";"730.2";"776.5";"";"73";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-30.0";"";"";"";"";"";"";
"30.12.2019 02:00";"-27.2";"732.0";"778.4";"";"73";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-30.6";"";"";"";"";"";"";
"29.12.2019 23:00";"-35.2";"734.8";"782.9";"";"65";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-39.4";"";"";"";"";"";"";
"29.12.2019 20:00";"-35.5";"736.9";"785.5";"";"64";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"-33.9";"";"";"";"";"";"";"-39.8";"Осадков нет";"12";"";"";"";"";
"29.12.2019 17:00";"-34.9";"738.5";"787.0";"";"64";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-39.2";"";"";"";"";"";"";
"29.12.2019 14:00";"-35.9";"739.6";"788.4";"";"63";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-40.4";"";"";"";"";"";"";
"29.12.2019 11:00";"-43.6";"741.3";"791.9";"";"64";"Ветер, дующий с юго-востока";"2";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-45.1";"";"";"";"";"";"";"4.0";"-47.6";"";"";"";"";"";"";
"29.12.2019 08:00";"-44.8";"740.9";"791.7";"";"61";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"-44.9";"";"";"";"";"";"";"";"-49.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"20.0";
"29.12.2019 05:00";"-44.0";"740.5";"791.0";"";"55";"Ветер, дующий с востоко-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-49.2";"";"";"";"";"";"";
"29.12.2019 02:00";"-42.3";"739.9";"790.0";"";"57";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-47.3";"";"";"";"";"";"";
"28.12.2019 23:00";"-40.0";"739.0";"788.6";"";"59";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-44.8";"";"";"";"";"";"";
"28.12.2019 20:00";"-35.5";"738.1";"786.6";"";"67";"Ветер, дующий с юго-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"-24.8";"";"";"";"";"";"";"-39.4";"Осадков нет";"12";"";"";"";"";
"28.12.2019 17:00";"-30.0";"736.4";"783.7";"";"67";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-34.1";"";"";"";"";"";"";
