Местное время в Заларях;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
08.01.2017 11:00;-32.6;736.1;784.4;;71;Штиль, безветрие;0;;;Облаков нет.; ;;;-34.7;;;;;;;50.0;-36.1;;;;;;
08.01.2017 17:00;-27.1;734.1;781.1;;76;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-30.1;;;;;;
09.01.2017 11:00;-33.7;736.9;785.4;;69;Штиль, безветрие;0;;;Облаков нет.; ;;;-35.2;;;;;;;20.0;-37.4;;;;;;
09.01.2017 17:00;-31.4;735.9;783.9;;71;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-34.9;;;;;;
10.01.2017 11:00;-31.1;731.6;779.2;;71;Ветер, дующий с северо-северо-востока;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-34.6;;;;;;
10.01.2017 17:00;-27.5;732.4;779.3;;74;Ветер, дующий с севера;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-30.7;;;;;;
11.01.2017 11:00;-30.6;729.7;777.1;;71;Ветер, дующий с севера;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-34.1;;;;;;
11.01.2017 17:00;-25.5;728.5;774.8;;71;Ветер, дующий с северо-северо-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-29.3;;;;;;
11.01.2017 23:00;-28.3;729.1;776.1;;73;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-31.7;;;;;;
12.01.2017 5:00;-32.0;728.5;776.2;;71;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-35.5;;;;;;
12.01.2017 11:00;-30.5;728.3;775.6;;71;Штиль, безветрие;0;;;Облаков нет.; ;;;-32.7;;;;;;;50.0;-34.0;;;;;;
12.01.2017 17:00;-22.0;726.7;772.3;;77;Ветер, дующий с севера;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-25.0;;;;;;
12.01.2017 23:00;-23.7;727.0;772.9;;80;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;;;;;;;;-26.2;;;;;;
13.01.2017 5:00;-26.4;727.8;774.2;;78;Ветер, дующий с востоко-северо-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-29.1;;;;;;
13.01.2017 17:00;-18.5;729.4;774.4;;73;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-22.2;;;;;;
13.01.2017 23:00;-18.5;728.9;774.0;;77;Ветер, дующий с севера;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;;-21.6;;;;;;
14.01.2017 5:00;-20.3;729.1;774.4;;82;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-22.6;;;;;;
14.01.2017 11:00;-21.0;730.2;775.8;;80;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;-22.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-23.5;;;;;;
14.01.2017 17:00;-15.9;730.4;775.0;;73;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-19.7;;;;;;
14.01.2017 23:00;-22.2;731.5;777.4;;82;Штиль, безветрие;0;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-24.5;;;;;;
15.01.2017 5:00;-25.5;731.5;778.0;;78;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-28.2;;;;;;
15.01.2017 11:00;-25.1;731.0;777.4;;78;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;20.0;-27.9;;;;;;
15.01.2017 17:00;-19.0;730.6;775.9;;75;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-22.4;;;;;;
15.01.2017 23:00;-24.5;731.7;778.0;;81;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-26.8;;;;;;
16.01.2017 5:00;-28.0;733.1;780.3;;75;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;;-31.0;;;;;;
16.01.2017 11:00;-24.8;734.4;781.0;;80;Штиль, безветрие;0;;;20–30%.; ;;;-29.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-27.3;;;;;;
16.01.2017 17:00;-18.9;733.7;779.2;;75;Ветер, дующий с запада;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-22.2;;;;;;
16.01.2017 23:00;-23.0;733.9;780.1;;80;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-25.5;;;;;;
17.01.2017 5:00;-23.4;733.9;780.1;;79;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-26.0;;;;;;
17.01.2017 11:00;-20.0;735.4;781.2;;76;Ветер, дующий с запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-23.2;;;;;;
17.01.2017 17:00;-19.1;736.8;782.5;;73;Ветер, дующий с северо-запада;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-22.7;;;;;;
17.01.2017 23:00;-21.8;739.6;785.9;;77;Ветер, дующий с запада;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-24.8;;;;;;
18.01.2017 5:00;-24.2;740.2;787.1;;78;Ветер, дующий с западо-юго-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-27.0;;;;;;
18.01.2017 11:00;-28.6;740.1;787.7;;74;Штиль, безветрие;0;;;Облаков нет.; ;;;-30.4;;;;;;;50.0;-31.8;;;;;;
18.01.2017 17:00;-26.6;737.7;784.9;;73;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-30.0;;;;;;
18.01.2017 23:00;-32.2;735.4;783.6;;72;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-35.6;;;;;;
19.01.2017 5:00;-33.1;733.0;781.0;;70;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-36.7;;;;;;
19.01.2017 11:00;-26.3;730.3;776.8;;76;Ветер, дующий с северо-северо-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-29.3;;;;;;
19.01.2017 17:00;-20.3;728.8;774.1;;74;Ветер, дующий с севера;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-23.7;;;;;;
19.01.2017 23:00;-18.5;731.1;776.2;;82;Ветер, дующий с юго-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;;-20.8;;;;;;
20.01.2017 5:00;-20.9;732.2;778.0;;83;Ветер, дующий с запада;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-23.1;;;;;;
20.01.2017 17:00;-15.7;734.3;779.2;;66;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-20.7;;;;;;
20.01.2017 23:00;-29.4;735.1;782.6;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-32.4;;;;;;
21.01.2017 5:00;-32.9;734.1;782.3;;71;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-36.4;;;;;;
21.01.2017 11:00;-29.5;733.7;781.2;;74;Ветер, дующий с северо-северо-востока;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-32.7;;;;;;
21.01.2017 17:00;-24.3;731.8;778.1;;74;Ветер, дующий с севера;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-27.6;;;;;;
21.01.2017 23:00;-29.9;730.6;778.0;;74;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-33.0;;;;;;
22.01.2017 5:00;-30.3;729.0;776.3;;73;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-33.6;;;;;;
22.01.2017 11:00;-27.3;728.8;775.5;;76;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-30.3;;;;;;
22.01.2017 17:00;-16.4;729.3;774.0;;66;Ветер, дующий с востоко-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-21.3;;;;;;
22.01.2017 23:00;-26.0;730.9;777.4;;78;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-28.7;;;;;;
23.01.2017 5:00;-28.1;730.9;778.0;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-31.1;;;;;;
23.01.2017 11:00;-26.2;730.0;776.6;;74;Ветер, дующий с востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-29.4;;;;;;
23.01.2017 17:00;-14.6;726.7;770.9;;64;Ветер, дующий с востоко-юго-востока;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-20.0;;;;;;
23.01.2017 23:00;-23.2;724.7;770.4;;80;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-25.7;;;;;;
24.01.2017 5:00;-24.9;722.7;768.5;;79;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-27.5;;;;;;
24.01.2017 11:00;-20.2;722.7;767.7;;78;Ветер, дующий с северо-северо-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-23.0;;;;;;
24.01.2017 17:00;-13.8;724.4;768.4;;70;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-18.1;;;;;;
