"Местное время в Заярске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 20:00";"-18.5";"734.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"-16.5";"";"";"";"";"";"";"";"0.6";"12";"";"";"";"";
"31.12.2017 14:00";"-17.0";"731.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Снег неливневый. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"31.12.2017 08:00";"-21.5";"729.0";"";"";"90";"Штиль, безветрие";"0";"";"";"20–30%.";"Состояние неба в общем не изменилось. ";"";"";"-21.7";"";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"31.12.2017 02:00";"-20.1";"728.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.12.2017 20:00";"-20.7";"729.0";"";"";"90";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"";"-17.6";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"30.12.2017 14:00";"-18.4";"730.0";"";"";"90";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"30.12.2017 08:00";"-22.5";"731.0";"";"";"90";"Ветер, дующий с юго-востока";"1";"";"";"40%.";" ";"";"";"-22.5";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"30.12.2017 02:00";"-20.1";"733.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.12.2017 20:00";"-15.6";"734.0";"";"";"90";"Ветер, дующий с запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"-9.7";"";"";"";"";"";"";"";"4.0";"12";"";"";"";"";
"29.12.2017 14:00";"-11.7";"733.0";"";"";"95";"Ветер, дующий с запада";"3";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";"";
"29.12.2017 08:00";"-10.1";"731.0";"";"";"95";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-10.7";"";"";"";"";"";"";"";"";"7.0";"12";"";"";"";"";
"29.12.2017 02:00";"-8.3";"729.0";"";"";"95";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.12.2017 20:00";"-9.1";"727.0";"";"";"95";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"";"";"";"-9.0";"";"";"";"";"";"";"";"0.4";"12";"";"";"";"";
"28.12.2017 14:00";"-13.5";"726.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"28.12.2017 08:00";"-17.7";"726.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-18.1";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"28.12.2017 02:00";"-13.5";"725.0";"";"";"95";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.12.2017 20:00";"-12.2";"724.0";"";"";"95";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"-8.0";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"27.12.2017 14:00";"-10.0";"722.0";"";"";"90";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"27.12.2017 08:00";"-11.3";"720.0";"";"";"90";"Ветер, дующий с юга";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"-16.9";"";"";"";"";"";"";"";"";"1.0";"12";"";"";"";"";
"27.12.2017 02:00";"-14.9";"719.0";"";"";"85";"Ветер, дующий с юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.12.2017 20:00";"-16.7";"726.0";"";"";"85";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"-14.5";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"26.12.2017 14:00";"-15.4";"719.0";"";"";"75";"Ветер, дующий с востока";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"26.12.2017 08:00";"-23.5";"722.0";"";"";"84";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"-27.7";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"26.12.2017 02:00";"-27.3";"726.0";"";"";"84";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.12.2017 20:00";"-23.6";"729.0";"";"";"84";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-23.1";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"25.12.2017 14:00";"-26.7";"731.0";"";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"25.12.2017 08:00";"-32.7";"732.0";"";"";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-32.8";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"25.12.2017 02:00";"-28.1";"731.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.12.2017 20:00";"-22.9";"731.0";"";"";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-14.5";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"24.12.2017 14:00";"-15.9";"730.0";"";"";"85";"Ветер, дующий с севера";"1";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";"";
"24.12.2017 08:00";"-14.5";"728.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-18.7";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"24.12.2017 02:00";"-15.5";"729.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.12.2017 20:00";"-18.4";"730.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"-15.0";"";"";"";"";"";"";"";"0.6";"12";"";"";"";"";
"23.12.2017 14:00";"-15.7";"729.0";"";"";"90";"Ветер, дующий с запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.12.2017 08:00";"-17.6";"728.0";"";"";"90";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-18.9";"";"";"";"";"";"";"";"";"0.7";"12";"";"";"";"";
"23.12.2017 02:00";"-15.9";"727.0";"";"";"90";"Ветер, дующий с запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.12.2017 20:00";"-12.8";"726.0";"";"";"90";"Ветер, дующий с запада";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"-11.5";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"22.12.2017 14:00";"-12.2";"726.0";"";"";"85";"Ветер, дующий с запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"22.12.2017 08:00";"-11.7";"724.0";"";"";"90";"Ветер, дующий с запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-11.7";"";"";"";"";"";"";"";"";"0.9";"12";"";"";"";"";
"22.12.2017 02:00";"-11.1";"724.0";"";"";"90";"Ветер, дующий с запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.12.2017 20:00";"-9.1";"723.0";"";"";"88";"Ветер, дующий с запада";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"-8.5";"";"";"";"";"";"";"";"2.0";"12";"";"";"";"";
"21.12.2017 14:00";"-9.5";"723.0";"";"";"88";"Ветер, дующий с запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.12.2017 08:00";"-10.3";"723.0";"";"";"90";"Ветер, дующий с запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"-10.3";"";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"21.12.2017 02:00";"-10.0";"723.0";"";"";"85";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
