Местное время в Икее;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
31.12.2020 20:00;-27.8;725.8;780.7;;74;Штиль, безветрие;0;;;70 – 80%.; ;;;;-25.0;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-31.0;Осадков нет;12;;;;
31.12.2020 14:00;-28.6;725.0;780.1;;75;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-31.7;;;;;;
30.12.2020 20:00;-33.4;727.0;783.3;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;-26.8;;;;;;;-36.3;Осадков нет;12;;;;
30.12.2020 14:00;-27.5;728.7;783.7;;74;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-30.7;;;;;;
30.12.2020 8:00;-36.4;731.8;789.2;;73;Штиль, безветрие;0;;;Облаков нет.; ;;;-36.8;;;;;;;;-39.4;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;9.0
30.12.2020 2:00;-32.4;734.8;791.5;;74;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-35.5;;;;;;
29.12.2020 20:00;-32.2;737.8;794.7;;74;Штиль, безветрие;0;;;Облаков нет.; ;;;;-27.1;;;;;;;-35.3;Осадков нет;12;;;;
29.12.2020 14:00;-28.9;740.4;796.6;;69;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-32.8;;;;;;
29.12.2020 8:00;-39.1;742.0;800.9;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;-39.2;;;;;;;;-41.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;10.0
29.12.2020 2:00;-37.1;743.0;801.5;;78;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-39.5;;;;;;
28.12.2020 20:00;-33.2;742.5;799.9;;74;Штиль, безветрие;0;;;40%.; ;;;;-28.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-36.3;Осадков нет;12;;;;
28.12.2020 14:00;-30.2;741.3;797.8;;70;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-33.9;;;;;;
28.12.2020 8:00;-38.4;740.0;798.7;;73;Штиль, безветрие;0;;;Облаков нет.; ;;;-38.5;;;;;;;;-41.4;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;11.0
28.12.2020 2:00;-35.5;738.7;796.5;;74;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-38.4;;;;;;
27.12.2020 20:00;-32.8;736.9;793.8;;91;Штиль, безветрие;0;;;20–30%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-28.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-33.8;0.5;12;;;;
27.12.2020 14:00;-28.4;733.0;788.6;;70;Ветер, дующий с севера;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-32.2;;;;;;
27.12.2020 8:00;-30.4;729.5;785.3;;79;Штиль, безветрие;0;;;60%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-30.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-32.8;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;10.0
27.12.2020 2:00;-25.1;726.9;781.2;;85;Штиль, безветрие;0;;;90  или более, но не 100%;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-26.9;;;;;;
26.12.2020 20:00;-25.8;724.0;778.2;;75;Штиль, безветрие;0;;;40%.; ;;;;-19.6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-29.0;Осадков нет;12;;;;
26.12.2020 14:00;-21.0;721.6;774.6;;60;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-26.7;;;;;;
26.12.2020 8:00;-21.0;718.9;771.8;;75;Ветер, дующий с северо-северо-запада;2;;;Облаков нет.; ;;;-21.1;;;;;;;;-24.3;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;10.0
26.12.2020 2:00;-14.8;715.5;766.7;;76;Ветер, дующий с северо-запада;2;;;60%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-18.2;;;;;;
