"Местное время в Иркутске (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:00";"-15.2";"725.5";"774.9";"";"85";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"50%.";"1000-1500";"";"";"2.3";"-17.2";"";"";"";"";"";"";
"31.12.2017 11:00";"-19.4";"724.0";"774.1";"";"78";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"40%.";"1000-1500";"";"";"10.0";"-22.3";"";"";"";"";"";"";
"31.12.2017 05:00";"-21.3";"722.7";"773.1";"";"79";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"";"20–30%.";"2500 или более, или облаков нет.";"";"";"10.0";"-24.0";"";"";"";"";"";"";
"30.12.2017 23:00";"-19.3";"723.6";"773.7";"";"84";"Ветер, дующий с востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-21.3";"";"";"";"";"";"";
"30.12.2017 20:00";"-19.7";"723.8";"774.0";"";"86";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"";"-12.6";"";"";"2500 или более, или облаков нет.";"";"";"4.0";"-21.5";"";"";"";"";"";"";
"30.12.2017 17:00";"-14.6";"723.9";"773.0";"";"69";"Ветер, дующий с западо-северо-запада";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"2.8";"-19.1";"";"";"";"";"";"";
"30.12.2017 14:00";"-16.2";"724.1";"773.6";"";"79";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-19.1";"";"";"";"";"";"";
"30.12.2017 11:00";"-21.2";"725.5";"776.2";"";"81";"Ветер, дующий с востока";"2";"";"";"50%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-23.6";"";"";"";"";"";"";
"30.12.2017 08:00";"-20.7";"726.1";"776.7";"";"84";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"-20.8";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-22.7";"";"";"";"";"";"";
"30.12.2017 05:00";"-15.0";"727.0";"776.5";"";"79";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-17.8";"";"";"";"";"";"";
"29.12.2017 23:00";"-11.2";"728.8";"777.7";"";"68";"Ветер, дующий с западо-северо-запада";"6";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.0";"";"";"";"";"";"";
"29.12.2017 17:00";"-9.2";"729.0";"777.5";"";"74";"Ветер, дующий с северо-запада";"11";"";"";"100%.";" ";"";"";"";"";"";"60%.";"1500-2000";"";"";"10.0";"-13.1";"";"";"";"";"";"";
"29.12.2017 14:00";"-9.0";"728.2";"776.5";"";"80";"Ветер, дующий с северо-запада";"13";"17";"";"100%.";" ";"";"";"";"";"";"100%.";"1000-1500";"";"";"1.8";"-11.9";"";"";"";"";"";"";
"29.12.2017 11:00";"-8.9";"727.6";"775.9";"";"83";"Ветер, дующий с северо-запада";"13";"";"";"100%.";" ";"";"";"";"";"";"100%.";"300-600";"";"";"1.0";"-11.3";"";"";"";"";"";"";
"29.12.2017 08:00";"-8.5";"726.3";"774.4";"";"84";"Ветер, дующий с западо-северо-запада";"12";"16";"";"100%.";" ";"";"";"-8.5";"";"";"100%.";"300-600";"";"";"1.0";"-10.7";"";"";"";"";"";"";
"29.12.2017 05:00";"-7.7";"724.6";"772.6";"";"84";"Ветер, дующий с западо-северо-запада";"11";"";"";"100%.";" ";"";"";"";"";"";"100%.";"300-600";"";"";"2.0";"-10.0";"";"";"";"";"";"";
"29.12.2017 02:00";"-6.8";"723.6";"771.3";"";"78";"Ветер, дующий с западо-северо-запада";"11";"15";"";"100%.";" ";"";"";"";"";"";"100%.";"300-600";"";"";"4.0";"-10.0";"";"";"";"";"";"";
"28.12.2017 23:00";"-5.8";"722.5";"769.9";"";"87";"Ветер, дующий с западо-северо-запада";"12";"";"";"100%.";" ";"";"";"";"";"";"100%.";"300-600";"";"";"1.8";"-7.7";"";"";"";"";"";"";
"28.12.2017 20:00";"-7.6";"721.9";"769.6";"";"87";"Ветер, дующий с западо-северо-запада";"6";"";"";"100%.";" ";"";"";"";"-6.5";"";"90  или более, но не 100%";"300-600";"";"";"2.6";"-9.4";"";"";"";"";"";"";
"28.12.2017 17:00";"-7.9";"720.2";"767.8";"";"88";"Ветер, дующий с запада";"4";"";"";"100%.";" ";"";"";"";"";"";"100%.";"1000-1500";"";"";"1.5";"-9.6";"";"";"";"";"";"";
"28.12.2017 14:00";"-6.9";"717.9";"765.2";"";"89";"Ветер, дующий с северо-северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"10.0";"-8.5";"";"";"";"";"";"";
"28.12.2017 11:00";"-9.9";"717.6";"765.4";"";"87";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-11.7";"";"";"";"";"";"";
"28.12.2017 08:00";"-11.4";"717.9";"766.0";"";"85";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"-15.4";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-13.4";"";"";"";"";"";"";
"28.12.2017 05:00";"-14.9";"717.8";"766.6";"";"86";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.7";"";"";"";"";"";"";
"28.12.2017 02:00";"-14.4";"719.5";"768.4";"";"85";"Ветер, дующий с востока";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.4";"";"";"";"";"";"";
"27.12.2017 23:00";"-8.8";"719.8";"767.5";"";"84";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-11.1";"";"";"";"";"";"";
"27.12.2017 20:00";"-7.3";"718.9";"766.4";"";"83";"Ветер, дующий с юго-юго-востока";"5";"";"";"100%.";" ";"";"";"";"-6.1";"";"20–30%.";"1500-2000";"";"";"10.0";"-9.8";"";"";"";"";"";"";
"27.12.2017 17:00";"-6.4";"719.2";"766.5";"";"81";"Ветер, дующий с юго-юго-востока";"6";"";"";"100%.";" ";"";"";"";"";"";"60%.";"300-600";"";"";"10.0";"-9.2";"";"";"";"";"";"";
"27.12.2017 14:00";"-6.6";"719.1";"766.4";"";"78";"Ветер, дующий с юго-юго-востока";"6";"";"";"100%.";" ";"";"";"";"";"";"20–30%.";"600-1000";"";"";"10.0";"-9.9";"";"";"";"";"";"";
"27.12.2017 11:00";"-8.7";"719.3";"767.1";"";"75";"Ветер, дующий с юго-востока";"4";"";"";"100%.";" ";"";"";"";"";"";"100%.";"600-1000";"";"";"10.0";"-12.4";"";"";"";"";"";"";
"27.12.2017 08:00";"-10.3";"717.1";"765.1";"";"73";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";" ";"";"";"-13.8";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-14.2";"";"";"";"";"";"";
"27.12.2017 05:00";"-11.9";"715.9";"764.0";"";"74";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-15.6";"";"";"";"";"";"";
"27.12.2017 02:00";"-12.2";"715.4";"763.6";"";"75";"Ветер, дующий с востока";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-15.8";"";"";"";"";"";"";
"26.12.2017 23:00";"-12.9";"714.8";"763.0";"";"77";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.2";"";"";"";"";"";"";
"26.12.2017 20:00";"-12.2";"714.4";"762.5";"";"74";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"-8.4";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.0";"";"";"";"";"";"";
"26.12.2017 17:00";"-11.7";"713.4";"761.3";"";"76";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-15.2";"";"";"";"";"";"";
"26.12.2017 14:00";"-9.8";"713.2";"760.7";"";"71";"Ветер, дующий с востоко-юго-востока";"4";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-14.1";"";"";"";"";"";"";
"26.12.2017 11:00";"-13.5";"715.2";"763.6";"";"82";"Ветер, дующий с востоко-юго-востока";"4";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-15.9";"";"";"";"";"";"";
"26.12.2017 08:00";"-14.3";"716.3";"764.9";"";"85";"Ветер, дующий с востоко-юго-востока";"4";"";"";"100%.";" ";"";"";"-23.4";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-16.3";"";"";"";"";"";"";
"26.12.2017 05:00";"-16.9";"717.9";"767.1";"";"88";"Ветер, дующий с востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-18.5";"";"";"";"";"";"";
"26.12.2017 02:00";"-22.4";"719.9";"770.4";"";"80";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-24.9";"";"";"";"";"";"";
"25.12.2017 23:00";"-21.1";"721.8";"772.1";"";"82";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-23.4";"";"";"";"";"";"";
"25.12.2017 20:00";"-20.7";"723.2";"773.5";"";"83";"Ветер, дующий с востоко-северо-востока";"3";"";"";"100%.";" ";"";"";"";"-15.2";"";"";"2500 или более, или облаков нет.";"";"";"4.3";"-22.9";"";"";"";"";"";"";
"25.12.2017 17:00";"-18.3";"723.8";"773.7";"";"83";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"";"40%.";"600-1000";"";"";"10.0";"-20.5";"";"";"";"";"";"";
"25.12.2017 14:00";"-15.2";"724.2";"773.5";"";"85";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"10.0";"-17.2";"";"";"";"";"";"";
"25.12.2017 11:00";"-16.1";"724.6";"774.1";"";"85";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"";"";"40%.";"600-1000";"";"";"4.0";"-18.0";"";"";"";"";"";"";
"25.12.2017 08:00";"-16.3";"724.2";"773.7";"";"85";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"-17.2";"";"";"50%.";"600-1000";"";"";"10.0";"-18.2";"";"";"";"";"";"";
"25.12.2017 05:00";"-16.1";"724.0";"773.5";"";"85";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"1500-2000";"";"";"10.0";"-18.0";"";"";"";"";"";"";
"25.12.2017 02:00";"-15.8";"724.1";"773.5";"";"86";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"2.9";"-17.6";"";"";"";"";"";"";
"24.12.2017 23:00";"-15.3";"724.0";"773.3";"";"86";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"2.1";"-17.1";"";"";"";"";"";"";
"24.12.2017 20:00";"-14.8";"724.3";"773.5";"";"87";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"-11.6";"";"60%.";"600-1000";"";"";"1.7";"-16.5";"";"";"";"";"";"";
"24.12.2017 17:00";"-12.2";"724.0";"772.8";"";"88";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"60%.";"600-1000";"";"";"4.0";"-13.8";"";"";"";"";"";"";
"24.12.2017 14:00";"-14.4";"723.9";"772.9";"";"86";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"";"40%.";"600-1000";"";"";"4.0";"-16.2";"";"";"";"";"";"";
"24.12.2017 11:00";"-17.8";"724.0";"773.8";"";"84";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"4.0";"-19.9";"";"";"";"";"";"";
"24.12.2017 08:00";"-19.4";"723.9";"774.0";"";"83";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-20.2";"";"";"50%.";"600-1000";"";"";"10.0";"-21.6";"";"";"";"";"";"";
