Местное время в Иркутске (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
08.01.2017 11:00;-24.6;730.7;782.4;;79;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-27.2;;;;;;
08.01.2017 17:00;-19.7;727.3;777.7;;64;Ветер, дующий с северо-северо-запада;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-24.8;;;;;;
09.01.2017 11:00;-27.6;731.5;783.9;;74;Ветер, дующий с востоко-северо-востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-30.8;;;;;;
09.01.2017 17:00;-20.7;730.8;781.6;;64;Ветер, дующий с востоко-юго-востока;1;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;4.0;-25.7;;;;;;
10.01.2017 17:00;-23.6;726.8;778.0;;79;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;;20–30%.;300-600;;;4.0;-26.3;;;;;;
11.01.2017 17:00;-18.8;722.7;772.6;;64;Ветер, дующий с северо-северо-запада;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;4.0;-24.0;;;;;;
11.01.2017 23:00;-23.3;723.8;774.7;;80;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-25.8;;;;;;
12.01.2017 5:00;-23.5;723.7;774.6;;81;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;;50%.;300-600;;;10.0;-25.9;;;;;;
12.01.2017 11:00;-19.8;723.9;774.1;;81;Ветер, дующий с востока;3;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-22.2;;;;;;
12.01.2017 17:00;-13.9;722.5;771.4;;68;Ветер, дующий с юга;4;;;50%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-18.6;;;;;;
12.01.2017 23:00;-19.8;723.0;773.1;;81;Ветер, дующий с востока;3;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-22.3;;;;;;
13.01.2017 5:00;-23.5;723.4;774.4;;80;Ветер, дующий с востоко-юго-востока;2;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-26.0;;;;;;
13.01.2017 11:00;-21.0;724.8;775.3;;80;Ветер, дующий с востока;2;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-23.5;;;;;;
13.01.2017 17:00;-13.6;724.3;773.3;;65;Ветер, дующий с востоко-северо-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-18.8;;;;;;
13.01.2017 23:00;-16.4;724.3;773.8;;78;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-19.4;;;;;;
14.01.2017 5:00;-19.4;723.8;773.9;;85;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-21.3;;;;;;
14.01.2017 17:00;-11.2;725.2;773.8;;70;Ветер, дующий с юга;2;;;100%.; ;;;;;;50%.;300-600;;;10.0;-15.7;;;;;;
15.01.2017 17:00;-11.1;724.7;773.3;;87;Штиль, безветрие;0;;;100%.; ;;;;;;50%.;1000-1500;;;4.0;-12.8;;;;;;
16.01.2017 17:00;-17.2;728.4;778.3;;84;Штиль, безветрие;0;;;100%.; ;;;;;;50%.;300-600;;;10.0;-19.3;;;;;;
17.01.2017 5:00;-23.2;728.5;779.7;;80;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;;50%.;600-1000;;;4.0;-25.7;;;;;;
