Местное время в Иркутске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.01.2017 2:00;-19.8;725.4;772.4;-0.4;85;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Снег и/или другие виды твердых осадков;Туман или ледяной туман или сильная мгла.;;;;;;;;2.0;-21.7;;;;;;
01.01.2017 5:00;-20.8;725.1;772.3;-0.3;83;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;2.0;-23.0;;;;;;
01.01.2017 8:00;-21.7;724.7;772.1;-0.4;83;Штиль, безветрие;0;;;90  или более, но не 100%;Туман или ледяной туман. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-22.6;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;90  или более, но не 100%;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;1.0;-23.8;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
01.01.2017 11:00;-20.7;724.7;771.9;0.0;82;Штиль, безветрие;0;;;20–30%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-22.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;2.0;-23.0;;;;;;
01.01.2017 14:00;-14.9;722.6;768.5;-2.1;74;Ветер, дующий с запада;1;;;70 – 80%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;-18.5;;;;;;
01.01.2017 17:00;-15.0;721.4;767.3;-1.2;85;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-17.0;;;;;;
01.01.2017 20:00;-17.1;720.9;767.2;-0.5;87;Ветер, дующий с северо-востока;1;;;20–30%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-13.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;1.0;-18.7;Осадков нет;12;;;;
01.01.2017 23:00;-19.5;719.8;766.5;-1.1;86;Ветер, дующий с севера;1;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;1.0;-21.3;;;;;;
02.01.2017 2:00;-15.3;718.0;763.7;-1.8;92;Ветер, дующий с юго-востока;2;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;1.0;-16.3;;;;;;
02.01.2017 5:00;-12.4;715.7;760.8;-2.3;84;Ветер, дующий с юго-востока;4;;;Облаков нет.; ;;;;;;;;;;10.0;-14.6;;;;;;
02.01.2017 8:00;-12.4;713.9;758.9;-1.8;90;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;-19.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10.0;-13.7;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
02.01.2017 11:00;-9.1;714.0;758.4;0.1;86;Ветер, дующий с юго-востока;3;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.1;;;;;;
02.01.2017 14:00;-5.6;713.3;757.0;-0.7;71;Ветер, дующий с юго-востока;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-10.1;;;;;;
02.01.2017 17:00;-6.7;714.1;758.1;0.8;68;Ветер, дующий с востоко-юго-востока;2;;;70 – 80%.; ;;;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-11.6;;;;;;
02.01.2017 20:00;-7.9;714.3;758.5;0.2;81;Ветер, дующий с юго-востока;4;;;70 – 80%.; ;;;;-5.4;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-10.7;Осадков нет;12;;;;
02.01.2017 23:00;-8.2;715.6;759.9;01.мар;80;Ветер, дующий с северо-северо-запада;1;;;50%.; ;;;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-11.0;;;;;;
03.01.2017 2:00;-13.0;718.3;763.6;02.июл;86;Ветер, дующий с северо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;10.0;-14.9;;;;;;
03.01.2017 5:00;-14.6;719.4;765.1;01.янв;88;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;10.0;-16.2;;;;;;
03.01.2017 8:00;-13.9;718.6;764.2;-0.8;87;Ветер, дующий с востоко-юго-востока;3;;;Облаков нет.; ;;;-15.9;;;;;;;10.0;-15.6;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;21.0
