Местное время в Калтуке;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
08.01.2017 11:00;-26.2;736.3;782.9;;76;Штиль, безветрие;0;;;100%.; ;;;-29.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-29.2;;;;;;
08.01.2017 17:00;-24.5;735.4;781.2;;75;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-27.7;;;;;;
09.01.2017 11:00;-38.0;737.5;786.1;;63;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;-39.5;;;;;;;20.0;-42.3;;;;;;
09.01.2017 17:00;-30.9;736.0;783.4;;72;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-34.3;;;;;;
10.01.2017 11:00;-33.8;732.1;779.6;;67;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-37.8;;;;;;
10.01.2017 17:00;-27.2;732.0;778.1;;74;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-30.5;;;;;;
11.01.2017 11:00;-27.0;730.3;776.3;;75;Штиль, безветрие;0;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-30.1;;;;;;
11.01.2017 17:00;-24.8;729.5;775.3;;78;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-27.5;;;;;;
11.01.2017 23:00;-30.6;729.6;776.2;;73;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;-33.8;;;;;;
12.01.2017 5:00;-35.2;728.7;776.5;;73;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-38.3;;;;;;
