Местное время в Максимово;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
30.10.2017 8:00;-6.2;730.0;763.7;;87;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-13.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8.1;0.9;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;1.0
30.10.2017 20:00;-2.0;729.3;762.3;;80;;;;;; ;;;;02.апр;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.0;Осадков нет;12;;;;
31.10.2017 8:00;-5.8;731.8;765.6;;72;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;-5.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-10.1;3.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;11.0
01.11.2017 8:00;-12.5;736.6;771.4;;80;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-15.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-15.2;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
01.11.2017 20:00;-8.8;739.6;774.1;;86;;;;;;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-7.3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-10.8;0.3;12;;;;
02.11.2017 8:00;-10.4;741.4;776.2;;85;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-10.7;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;;;;;-12.4;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
02.11.2017 20:00;-6.8;740.2;774.5;;62;;;;;; ;;;;-5.8;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;;;;;-13.0;Осадков нет;12;;;;
03.11.2017 8:00;-11.5;734.9;769.5;;80;;;;;; ;;;-17.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-14.3;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;10.0
04.11.2017 8:00;0.9;721.3;753.7;;79;;;;;;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-5.5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;;;;;-2.3;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;10.0
04.11.2017 20:00;03.авг;726.3;758.6;;42;;;;;;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;06.сен;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-8.0;2.0;12;;;;
