"Местное время в Нерое";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 20:00";"-20.7";"702.0";"";"";"80";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"-13.2";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"31.12.2017 14:00";"-15.4";"700.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"-23.9";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"31.12.2017 08:00";"-19.2";"697.0";"";"";"85";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"";"";"-19.3";"";"";"";"";"";"";"";"";"Следы осадков";"12";"";"";"";"";
"31.12.2017 02:00";"-18.7";"696.0";"";"";"77";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.12.2017 20:00";"-15.7";"696.0";"";"";"83";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"";"-14.4";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"30.12.2017 14:00";"-17.2";"697.0";"";"";"75";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
"30.12.2017 08:00";"-24.4";"697.0";"";"";"80";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-30.1";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"30.12.2017 02:00";"-28.0";"700.0";"";"";"79";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.12.2017 20:00";"-24.2";"703.0";"";"";"80";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-8.2";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"29.12.2017 14:00";"-17.1";"705.0";"";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-24.8";"";"";"";"";"";"";"50.0";"";"";"";"";"";"";"";
