Местное время в Нерое;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
19.01.2017 14:00;-20.2;696.0;;;85;;0;;;100%.; ;;;;;;;;;;4.0;;;;;;;
19.01.2017 20:00;-19.7;699.0;;;85;;0;;;100%.; ;;;;;;;;;;;;2.0;;;;;
20.01.2017 2:00;-26.0;701.0;;;85;;0;;;100%.; ;;;;;;;;;;;;;;;;;
20.01.2017 8:00;-28.0;702.0;;;84;;0;;;100%.; ;;;-28.9;;;;;;;;;0.6;;;;;
20.01.2017 14:00;-18.4;702.0;;;80;;0;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
20.01.2017 20:00;-25.6;701.0;;;84;;0;;;Облаков нет.; ;;;;-15.0;;;;;;;;;;;;;
21.01.2017 2:00;;701.0;;;;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
21.01.2017 8:00;;700.0;;;;;0;;;100%.; ;;;-35.0;;;;;;;;;;;;;;
21.01.2017 14:00;;699.0;;;;;0;;;100%.; ;;;;;;;;;;50.0;;;;;;;
21.01.2017 20:00;-26.2;698.0;;;74;;0;;;70 – 80%.; ;;;;-17.7;;;;;;;;;;;;;
22.01.2017 2:00;;695.0;;;;;0;;;100%.; ;;;;;;;;;;;;;;;;;
22.01.2017 8:00;;702.0;;;;;0;;;100%.; ;;;-32.8;;;;;;;;;;;;;;
22.01.2017 14:00;-17.4;695.0;;;70;;0;;;100%.; ;;;;;;;;;;50.0;;;;;;;
22.01.2017 20:00;-20.3;697.0;;;80;;0;;;100%.; ;;;;-13.9;;;;;;;;;;;;;
23.01.2017 2:00;-23.9;696.0;;;80;;0;;;100%.; ;;;;;;;;;;;;;;;;;
23.01.2017 8:00;-21.3;695.0;;;85;;0;;;40%.; ;;;-24.4;;;;;;;;;;;;;;
23.01.2017 14:00;-18.9;694.0;;;70;;0;;;20–30%.; ;;;-26.2;;;;;;;50.0;;;;;;;
23.01.2017 20:00;-17.3;692.0;;;85;;0;;;60%.; ;;;;-9.1;;;;;;;;;;;;;
24.01.2017 2:00;-24.5;690.0;;;84;;0;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
24.01.2017 8:00;;689.0;;;;;0;;;100%.; ;;;-27.3;;;;;;;;;;;;;;
24.01.2017 14:00;-15.2;691.0;;;85;;0;;;100%.; ;;;;;;;;;;50.0;;;;;;;
24.01.2017 20:00;-7.0;694.0;;;64;Ветер, дующий с юга;2;;;100%.; ;;;;-6.8;;;;;;;;;;;;;
25.01.2017 2:00;-12.6;696.0;;;70;;0;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
25.01.2017 8:00;-24.8;698.0;;;85;;0;;;20–30%.; ;;;-24.9;;;;;;;;;;;;;;
25.01.2017 14:00;-11.9;700.0;;;55;;0;;;100%.; ;;;-27.1;;;;;;;50.0;;;;;;;
25.01.2017 20:00;-14.6;700.0;;;54;Ветер, дующий с юго-запада;2;;;60%.; ;;;;-8.4;;;;;;;;;;;;;
26.01.2017 2:00;-24.3;699.0;;;80;;0;;;100%.; ;;;;;;;;;;;;;;;;;
26.01.2017 8:00;-22.4;695.0;;;80;;0;;;100%.; ;;;-26.5;;;;;;;;;;;;;;
26.01.2017 14:00;-7.5;692.0;;;60;;0;;;100%.; ;;;;;;;;;;50.0;;;;;;;
26.01.2017 20:00;-7.4;690.0;;;57;;0;;;100%.; ;;;;-5.7;;;;;;;;;;;;;
27.01.2017 2:00;-13.9;693.0;;;75;;0;;;100%.; ;;;;;;;;;;;;;;;;;
27.01.2017 8:00;-19.4;696.0;;;80;;0;;;100%.; ;;;-19.5;;;;;;;;;3.0;;;;;
27.01.2017 14:00;-19.2;700.0;;;70;Ветер, дующий с запада;4;;;70 – 80%.; ;;;-20.4;;;;;;;50.0;;;;;;;
27.01.2017 20:00;;704.0;;;;;0;;;100%.; ;;;;-18.8;;;;;;;;0.4;;;;;
28.01.2017 2:00;-28.8;706.0;;;75;;0;;;100%.; ;;;;;;;;;;;;;;;;;
28.01.2017 8:00;;707.0;;;;;0;;;Облаков нет.; ;;;-40.3;;;;;;;;;0.2;;;;;
