"Местное время в Новочунке";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2020 20:00";"-29.4";"753.0";"781.5";"";"72";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-27.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"";"-32.8";"Осадков нет";"12";"";"";"";"";
"31.12.2020 14:00";"-28.2";"752.0";"780.3";"";"73";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"4.0";"-31.5";"";"";"";"";"";"";
"31.12.2020 11:00";"-34.1";"751.9";"781.0";"";"84";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"4.0";"-35.9";"";"";"";"";"";"";
"31.12.2020 05:00";"-34.8";"752.2";"781.3";"";"84";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"";"-36.5";"";"";"";"";"";"";
"31.12.2020 02:00";"-35.4";"752.1";"781.3";"";"79";"Штиль, безветрие";"0";"";"";"60%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"";"-37.7";"";"";"";"";"";"";
"30.12.2020 23:00";"-33.0";"752.8";"781.7";"";"69";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"";"-36.8";"";"";"";"";"";"";
"30.12.2020 20:00";"-28.9";"753.2";"781.6";"";"72";"Ветер, дующий с юго-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"-24.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"";"-32.3";"Осадков нет";"12";"";"";"";"";
"30.12.2020 17:00";"-26.4";"753.8";"781.9";"";"73";"Ветер, дующий с юго-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-29.8";"";"";"";"";"";"";
"30.12.2020 11:00";"-29.6";"756.0";"784.6";"";"71";"Ветер, дующий с юго-юго-востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-33.2";"";"";"";"";"";"";
"30.12.2020 08:00";"-33.0";"757.1";"786.1";"";"68";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"-34.1";"";"";"";"";"";"";"";"-36.9";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"27.0";
"30.12.2020 05:00";"-33.7";"758.8";"787.8";"";"82";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-35.7";"";"";"";"";"";"";
"30.12.2020 02:00";"-32.3";"760.5";"789.6";"";"85";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-34.0";"";"";"";"";"";"";
"29.12.2020 23:00";"-33.2";"762.4";"791.7";"";"68";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-37.0";"";"";"";"";"";"";
"29.12.2020 20:00";"-32.9";"764.2";"793.5";"";"85";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-30.9";"";"";"";"";"";"";"-34.5";"Осадков нет";"12";"";"";"";"";
"29.12.2020 08:00";"-43.9";"770.2";"801.1";"";"82";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Туман с отложением изморози, небо видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-44.1";"";"";"";"";"";"";"";"-45.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"27.0";
"29.12.2020 05:00";"-44.0";"770.7";"801.7";"";"76";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Туман с отложением изморози, небо видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"";"-46.4";"";"";"";"";"";"";
"29.12.2020 02:00";"-43.4";"771.1";"802.1";"";"77";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Туман с отложением изморози, небо видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"";"-45.7";"";"";"";"";"";"";
"28.12.2020 23:00";"-42.3";"771.2";"802.0";"";"79";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Туман с отложением изморози, небо видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"";"-44.4";"";"";"";"";"";"";
"28.12.2020 20:00";"-40.8";"771.0";"801.6";"";"77";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Туман или ледяной туман, небо видно, начался или усилился в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"-35.9";"";"";"";"";"";"";"-43.2";"Осадков нет";"12";"";"";"";"";
"28.12.2020 17:00";"-37.8";"770.5";"800.7";"";"80";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"4.0";"-39.9";"";"";"";"";"";"";
"28.12.2020 14:00";"-38.2";"769.9";"800.1";"";"80";"Штиль, безветрие";"0";"";"";"20–30%.";"Дымка. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"1.0";"-40.3";"";"";"";"";"";"";
"28.12.2020 11:00";"-43.2";"769.6";"800.5";"";"57";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Туман или ледяной туман. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-44.6";"";"";"";"";"";"";"1.0";"-48.2";"";"";"";"";"";"";
"28.12.2020 08:00";"-44.2";"768.7";"799.6";"";"78";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-44.3";"";"";"";"";"";"";"";"-46.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"28.0";
"28.12.2020 05:00";"-43.6";"768.1";"799.0";"";"79";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Туман или ледяной туман, небо видно, начался или усилился в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"";"-45.7";"";"";"";"";"";"";
"28.12.2020 02:00";"-43.4";"767.2";"797.9";"";"77";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Туман с отложением изморози, небо видно. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"";"-45.7";"";"";"";"";"";"";
"27.12.2020 23:00";"-41.7";"766.0";"796.6";"";"80";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"";"";"";"";"";"";"-43.8";"";"";"";"";"";"";
"27.12.2020 20:00";"-39.1";"765.0";"795.1";"";"80";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-34.5";"";"";"";"";"";"";"-41.2";"Осадков нет";"12";"";"";"";"";
"27.12.2020 17:00";"-36.1";"763.3";"793.0";"";"69";"Ветер, дующий с запада";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-39.7";"";"";"";"";"";"";
"27.12.2020 14:00";"-35.3";"761.6";"791.1";"";"69";"Ветер, дующий с северо-северо-запада";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-39.0";"";"";"";"";"";"";
