Местное время в Перевозе;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
08.01.2017 11:00;-23.3;741.9;776.1;;55;Ветер, дующий с запада;2;;;90  или более, но не 100%; ;;;-25.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;-29.9;;;;;;
08.01.2017 17:00;-26.4;743.1;777.7;;50;Ветер, дующий с западо-северо-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые плотные, образовавшиеся от кучево-дождевых.;;-33.8;;;;;;
11.01.2017 17:00;-23.3;744.4;778.6;;75;Ветер, дующий с запада;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-слоистые, покрывающие все небо.;;-26.5;;;;;;
11.01.2017 23:00;-24.6;745.7;780.3;;79;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-27.2;;;;;;
12.01.2017 5:00;-30.3;746.6;782.0;;79;Ветер, дующий с западо-северо-запада;1;;;60%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-32.8;;;;;;
12.01.2017 11:00;-32.6;747.4;783.3;;75;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;-34.3;;;;;;;50.0;-35.5;;;;;;
12.01.2017 17:00;-32.1;748.0;783.4;;75;Ветер, дующий с западо-северо-запада;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-35.0;;;;;;
12.01.2017 23:00;-33.5;749.2;785.3;;79;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-35.9;;;;;;
13.01.2017 5:00;-35.1;749.6;785.9;;79;Ветер, дующий с северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-37.4;;;;;;
13.01.2017 11:00;-35.3;750.2;786.5;;;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
13.01.2017 17:00;-34.4;750.2;786.4;;74;Ветер, дующий с северо-северо-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-37.4;;;;;;
13.01.2017 23:00;-35.1;750.1;786.4;;75;Ветер, дующий с западо-северо-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-38.0;;;;;;
14.01.2017 5:00;-36.4;750.4;786.9;;73;Ветер, дующий с запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;-39.4;;;;;;
14.01.2017 11:00;-35.6;750.2;786.7;;75;Ветер, дующий с запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-38.4;;;;;;
14.01.2017 17:00;-35.6;749.7;786.1;;75;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-38.4;;;;;;
14.01.2017 23:00;-37.4;749.3;785.9;;76;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;;-40.1;;;;;;
15.01.2017 5:00;-38.7;749.2;786.0;;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-41.4;;;;;;
15.01.2017 11:00;-35.5;748.0;785.3;;74;Ветер, дующий с западо-северо-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-38.4;;;;;;
