Местное время в Солнечной;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
19.01.2017 8:00;-22.6;733.0;;;85;Ветер, дующий с запада;2;;;100%.; ;;;-25.6;;;;;;;;;;;;;;
19.01.2017 20:00;-20.3;729.0;;;90;Ветер, дующий с северо-запада;1;;;100%.; ;;;;-15.8;;;;;;;;Следы осадков;;;;;
20.01.2017 8:00;-18.8;728.0;;;85;Ветер, дующий с севера;4;;;100%.; ;;;-20.5;;;;;;;;;;;;;;
20.01.2017 20:00;-17.7;717.0;;;50;Ветер, дующий с северо-запада;5;;;60%.; ;;;;;;;;;;;;;;;;;
21.01.2017 8:00;-25.8;735.0;;;79;Ветер, дующий с севера;2;;;Облаков нет.; ;;;-25.8;;;;;;;;;;;;;;
22.01.2017 8:00;-26.2;733.0;;;84;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;-26.2;;;;;;;;;;;;;;
22.01.2017 20:00;-26.0;733.0;;;85;Ветер, дующий с юга;1;;;20–30%.; ;;;;;;;;;;;;;;;;;
23.01.2017 8:00;;733.0;;;;Ветер, дующий с юга;1;;;70 – 80%.; ;;;-27.7;;;;;;;;;;;;;;
23.01.2017 20:00;-22.8;732.0;;;84;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;-17.1;;;;;;;;;;;;;
24.01.2017 8:00;-23.0;727.0;;;79;Ветер, дующий с северо-запада;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
24.01.2017 20:00;-21.1;726.0;;;85;Ветер, дующий с северо-запада;2;;;100%.; ;;;;-16.4;;;;;;;;;;;;;
25.01.2017 8:00;-15.2;726.0;;;95;Ветер, дующий с юга;2;;;100%.; ;;;-18.5;;;;;;;;;;;;;;
25.01.2017 20:00;-8.4;729.0;;;48;Ветер, дующий с запада;7;;;90  или более, но не 100%; ;;;;-5.2;;;;;;;;;;;;;
26.01.2017 8:00;-15.0;745.0;;;80;Ветер, дующий с запада;3;;;70 – 80%.; ;;;-15.0;;;;;;;;;;;;;;
26.01.2017 20:00;-13.0;725.0;;;100;Ветер, дующий с юга;2;;;100%.; ;;;;-10.2;;;;;;;;;;;;;
27.01.2017 8:00;-13.3;728.0;;;95;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;;;;;;;;;;;;;
27.01.2017 20:00;-12.5;727.0;;;45;Ветер, дующий с запада;10;;;100%.; ;;;;;;;;;;;;Следы осадков;;;;;
28.01.2017 8:00;-16.1;734.0;;;45;Ветер, дующий с запада;10;;;10%  или менее, но не 0; ;;;-16.1;;;;;;;;;;;;;;
28.01.2017 20:00;-22.4;739.0;;;85;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;-11.8;;;;;;;;;;;;;
29.01.2017 8:00;-24.6;736.0;;;89;Ветер, дующий с севера;1;;;Облаков нет.; ;;;-29.0;;;;;;;;;;;;;;
29.01.2017 20:00;-27.7;731.0;;;89;Ветер, дующий с северо-запада;2;;;60%.; ;;;;-19.1;;;;;;;;;;;;;
30.01.2017 8:00;-25.4;727.0;;;90;;0;;;100%.; ;;;-30.5;;;;;;;;;;;;;;
30.01.2017 20:00;-11.8;717.0;;;50;Ветер, дующий с запада;11;;;40%.; ;;;;-19.7;;;;;;;;0.3;;;;;
31.01.2017 8:00;-20.5;731.0;;;65;Ветер, дующий с запада;1;;;10%  или менее, но не 0; ;;;-20.5;;;;;;;;;;;;;;
31.01.2017 20:00;-18.7;730.0;;;85;Ветер, дующий с северо-запада;1;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
