Местное время в Токме;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.01.2017 2:00;-12.0;720.5;762.9;-0.8;85;Ветер, дующий с юго-юго-запада;2;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;;-14.0;;;;;;
01.01.2017 5:00;-10.9;720.2;762.4;-0.3;85;Ветер, дующий с юга;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";50%.;600-1000;Высокослоистые просвечивающие.;;;-12.9;;;;;;
01.01.2017 8:00;-11.3;719.3;761.5;-0.9;85;Ветер, дующий с юго-юго-запада;3;;;70 – 80%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-13.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-13.3;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;39.0
01.01.2017 11:00;-11.2;718.9;761.1;-0.4;90;Ветер, дующий с юго-юго-запада;5;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-12.5;;;;;;
01.01.2017 14:00;-10.0;717.8;759.7;-1.1;85;Ветер, дующий с юго-юго-запада;5;;;70 – 80%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-12.0;;;;;;
01.01.2017 17:00;-9.6;717.6;759.3;-0.2;85;Ветер, дующий с юго-юго-запада;5;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-11.7;;;;;;
01.01.2017 20:00;-9.6;717.2;758.9;-0.4;88;Ветер, дующий с юго-юго-запада;5;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;-9.3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-11.2;0.4;12;;;;
01.01.2017 23:00;-10.0;716.5;758.4;-0.7;85;Ветер, дующий с юго-юго-запада;5;;;70 – 80%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.0;;;;;;
02.01.2017 2:00;-11.5;715.9;757.8;-0.6;90;Ветер, дующий с юго-юго-запада;3;;;50%.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.8;;;;;;
02.01.2017 5:00;-12.1;714.5;756.5;-1.4;90;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-13.4;;;;;;
02.01.2017 8:00;-12.8;713.1;755.2;-1.4;90;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;-12.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-14.1;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;39.0
02.01.2017 11:00;-12.2;711.7;753.5;-1.4;90;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-13.5;;;;;;
02.01.2017 14:00;-10.1;705.6;751.8;-6.1;90;Ветер, дующий с юго-юго-запада;3;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;-11.4;;;;;;
02.01.2017 17:00;-9.6;710.2;751.4;04.июн;91;Ветер, дующий с юго-юго-запада;5;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Метель;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;;-10.8;;;;;;
