Местное время в Томпе;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.01.2017 2:00;-10.2;723.3;768.0;;70;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-14.6;;;;;;
01.01.2017 8:00;-15.5;723.4;769.2;;95;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;-15.9;;;;;;;50.0;-16.1;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;26.0
01.01.2017 14:00;-6.9;722.5;766.5;;70;;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.6;;;;;;
01.01.2017 20:00;-8.3;720.9;765.1;;69;Ветер, дующий с севера;1;;;Облаков нет.; ;;;;-5.4;;;;;;;-13.0;Осадков нет;12;;;;
02.01.2017 2:00;-9.4;719.1;763.4;;76;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-12.9;;;;;;
02.01.2017 8:00;-10.9;724.4;761.3;;70;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;-11.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-15.3;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;27.0
02.01.2017 14:00;-8.4;713.8;757.7;;46;Ветер, дующий с востоко-северо-востока;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высокослоистые просвечивающие.;;20.0;-18.1;;;;;;
02.01.2017 20:00;-9.0;714.2;758.2;;80;Ветер, дующий с северо-северо-востока;3;;;100%.; ;;;;-7.6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-11.9;Осадков нет;12;;;;
03.01.2017 2:00;-10.3;715.1;759.3;;80;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-13.1;;;;;;
03.01.2017 8:00;-5.5;716.3;759.7;;92;Ветер, дующий с юго-юго-запада;7;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;-10.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-6.6;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;26.0
03.01.2017 14:00;-4.8;717.4;760.9;;83;Ветер, дующий с юга;4;;;90  или более, но не 100%;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-7.3;;;;;;
03.01.2017 20:00;-5.2;717.9;761.4;;88;Ветер, дующий с юга;2;;;10%  или менее, но не 0;Облака в целом рассеиваются или становятся менее развитыми. ;Метель;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-4.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.9;Осадков нет;12;;;;
04.01.2017 2:00;-7.7;734.8;763.9;;90;Ветер, дующий с северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-9.1;;;;;;
04.01.2017 8:00;-8.5;721.5;765.7;;83;Ветер, дующий с северо-северо-востока;2;;;10%  или менее, но не 0; ;;;-10.9;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-10.9;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;26.0
04.01.2017 14:00;-3.7;721.5;765.0;;81;Ветер, дующий с юга;2;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-6.6;;;;;;
04.01.2017 20:00;-8.3;721.2;765.4;;80;Ветер, дующий с северо-востока;1;;;100%.; ;;;;-2.8;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высокослоистые просвечивающие.;;;-11.1;Осадков нет;12;;;;
05.01.2017 2:00;-6.8;721.6;765.6;;80;Ветер, дующий с северо-востока;3;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высокослоистые просвечивающие.;;;-9.7;;;;;;
05.01.2017 8:00;-4.7;722.8;766.6;;31;Ветер, дующий с юго-юго-востока;1;;;70 – 80%.; ;;;-9.4;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-19.5;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;26.0
