Местное время в Узурах;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.01.2017 2:00;-10.2;724.5;769.0;;70;Ветер, дующий с северо-запада;6;;;Облаков нет.; ;;;;;;;;;;;-14.6;;;;;;
01.01.2017 5:00;-9.3;725.0;769.4;0.5;70;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;-13.8;;;;;;
01.01.2017 8:00;-8.4;724.7;768.9;-0.3;60;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;-10.2;;;;;;;;-14.8;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;3.0
01.01.2017 11:00;-14.7;724.9;770.2;0.2;76;Ветер, дующий с западо-юго-запада;3;;;10%  или менее, но не 0; ;;;-15.4;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-18.1;;;;;;
01.01.2017 14:00;-11.5;723.6;768.3;-1.3;76;Ветер, дующий с запада;1;;;40%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-15.0;;;;;;
01.01.2017 17:00;-13.0;722.9;767.8;-0.7;80;Ветер, дующий с запада;1;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-15.7;;;;;;
01.01.2017 20:00;-14.2;722.2;767.3;-0.7;95;Ветер, дующий с запада;2;;;20–30%.; ;;;;-8.1;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-14.8;Осадков нет;12;;;;
01.01.2017 23:00;-13.6;721.1;766.0;-1.1;95;Ветер, дующий с запада;3;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.2;;;;;;
02.01.2017 2:00;-12.1;720.5;765.1;-0.6;90;Ветер, дующий с западо-юго-запада;2;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-13.4;;;;;;
02.01.2017 5:00;06.мар;720.1;764.0;-0.4;26;Ветер, дующий с востока;4;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-11.8;;;;;;
