Местное время в Усть-Уде;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
31.12.2020 20:00;-30.6;736.3;781.9;;67;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;-30.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-34.7;Осадков нет;12;;;;
31.12.2020 14:00;-31.5;735.7;781.5;;75;Ветер, дующий с севера;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-34.5;;;;;;
31.12.2020 5:00;-36.1;735.8;782.5;;74;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;;-39.0;;;;;;
30.12.2020 23:00;-35.3;736.9;783.4;;73;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-38.4;;;;;;
30.12.2020 20:00;-34.2;737.7;784.1;;75;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;-30.9;;;;;;;-37.1;Осадков нет;12;;;;
30.12.2020 17:00;-32.5;739.0;785.1;;64;Штиль, безветрие;0;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-37.0;;;;;;
30.12.2020 14:00;-32.9;740.2;786.5;;75;Ветер, дующий с севера;2;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-35.8;;;;;;
30.12.2020 11:00;-37.1;742.0;789.3;;73;Ветер, дующий с северо-северо-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-40.1;;;;;;
30.12.2020 8:00;-38.2;743.6;791.2;;75;Ветер, дующий с севера;1;;;10%  или менее, но не 0; ;;;-38.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-40.9;Осадков нет;12;;;Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;16.0
30.12.2020 5:00;-38.1;745.7;793.4;;75;Ветер, дующий с северо-северо-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-40.9;;;;;;
30.12.2020 2:00;-37.2;747.4;795.0;;74;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-40.1;;;;;;
29.12.2020 23:00;-37.1;749.3;797.0;;73;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-40.1;;;;;;
29.12.2020 20:00;-35.9;750.7;798.2;;75;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;-33.2;;;;;;;-38.7;Осадков нет;12;;;;
