"Местное время в Хадаме";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2020 20:00";"-26.1";"709.6";"780.7";"";"80";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"-26.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-28.6";"Осадков нет";"12";"";"";"";"";
"31.12.2020 08:00";"-32.8";"708.9";"782.9";"";"85";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"-32.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-34.5";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"30.12.2020 20:00";"-32.5";"710.5";"784.5";"";"85";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-29.2";"";"";"";"";"";"";"-34.2";"Осадков нет";"12";"";"";"";"";
"30.12.2020 08:00";"-38.1";"715.0";"791.4";"";"79";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"-38.1";"";"";"";"";"";"";"";"-40.3";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"29.12.2020 20:00";"-33.5";"721.3";"796.8";"";"84";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"-30.0";"";"";"";"";"";"";"-35.3";"Осадков нет";"12";"";"";"";"";
"29.12.2020 08:00";"-37.8";"724.2";"802.3";"";"80";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"-37.8";"";"";"";"";"";"";"";"-39.9";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"28.12.2020 20:00";"-32.9";"723.8";"799.4";"";"85";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"-34.5";"Осадков нет";"12";"";"";"";"";
"28.12.2020 08:00";"-33.2";"722.7";"798.2";"";"89";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"-33.2";"";"";"";"";"";"";"";"-34.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"27.12.2020 20:00";"-30.3";"715.7";"760.5";"";"89";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-28.0";"";"";"";"";"";"";"-31.5";"Осадков нет";"12";"";"";"";"";
"27.12.2020 08:00";"-30.3";"715.7";"760.5";"";"89";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-30.3";"";"";"";"";"";"";"";"-31.5";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"26.12.2020 08:00";"-27.3";"701.2";"772.7";"";"94";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"-27.3";"";"";"";"";"";"";"";"-28.0";"0.5";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"4.0";
"25.12.2020 20:00";"-18.2";"692.6";"760.6";"";"90";"Ветер, дующий с востока";"2";"";"";"60%.";" ";"";"";"";"-18.2";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-19.4";"Осадков нет";"12";"";"";"";"";
"25.12.2020 08:00";"-24.9";"696.4";"766.8";"";"89";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"-25.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-26.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"24.12.2020 20:00";"-19.2";"697.1";"765.7";"";"90";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-20.4";"0.2";"12";"";"";"";"";
"24.12.2020 08:00";"-23.3";"695.2";"764.9";"";"85";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-23.3";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-25.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"23.12.2020 20:00";"-19.0";"700.6";"769.1";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-13.8";"";"";"";"";"";"";"-20.9";"Осадков нет";"12";"";"";"";"";
"23.12.2020 08:00";"-17.2";"698.1";"766.3";"";"80";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-17.2";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"-19.8";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"22.12.2020 20:00";"-12.0";"700.9";"768.1";"";"40";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"-8.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-22.9";"Осадков нет";"12";"";"";"";"";
"22.12.2020 08:00";"-17.0";"700.0";"768.4";"";"90";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-17.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"";"-18.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
"21.12.2020 20:00";"-11.6";"699.2";"766.0";"";"56";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"-9.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-слоистые, покрывающие все небо.";"";"-18.8";"Осадков нет";"12";"";"";"";"";
"21.12.2020 08:00";"-14.0";"704.5";"764.2";"";"90";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"-14.0";"";"";"";"";"";"";"";"-15.3";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"3.0";
