Местное время в Черемхово;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
08.01.2017 11:00;-24.4;721.3;782.6;;85;Ветер, дующий с востоко-юго-востока;2;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;-27.3;;;;;;;4.0;-26.2;;;;;;
08.01.2017 17:00;-24.5;718.9;780.0;;84;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-слоистые, покрывающие все небо.;10.0;-26.4;;;;;;
09.01.2017 11:00;-25.9;721.6;783.2;;84;Ветер, дующий с востоко-юго-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-27.8;;;;;;
09.01.2017 17:00;-28.0;721.3;783.4;;85;Ветер, дующий с востоко-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-29.8;;;;;;
10.01.2017 11:00;-26.1;716.7;778.0;;92;Ветер, дующий с востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-27.0;;;;;;
10.01.2017 17:00;-23.1;717.3;777.8;;85;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10.0;-25.0;;;;;;
11.01.2017 17:00;-21.1;714.0;773.8;;80;Ветер, дующий с востоко-северо-востока;1;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10.0;-23.6;;;;;;
11.01.2017 23:00;-23.2;714.3;774.5;;80;Ветер, дующий с востока;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-25.7;;;;;;
12.01.2017 5:00;-26.7;714.0;775.1;;79;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-29.2;;;;;;
12.01.2017 11:00;-23.6;713.6;773.9;;84;Ветер, дующий с востоко-юго-востока;5;;;20–30%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";4.0;-25.5;;;;;;
13.01.2017 5:00;-21.6;713.8;773.6;;80;Ветер, дующий с востоко-юго-востока;3;;;Облаков нет.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;;;;;;;;-24.1;;;;;;
13.01.2017 11:00;-20.4;715.0;774.7;;80;Ветер, дующий с востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20.0;-23.0;;;;;;
13.01.2017 17:00;-16.8;714.9;773.6;;80;Ветер, дующий с востока;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-19.4;;;;;;
13.01.2017 23:00;-16.1;714.7;773.2;;80;Ветер, дующий с востоко-юго-востока;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высокослоистые просвечивающие.;;;-18.8;;;;;;
14.01.2017 5:00;-17.9;714.8;773.9;;80;Ветер, дующий с востоко-юго-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-20.5;;;;;;
14.01.2017 17:00;-16.9;716.4;775.3;;80;Ветер, дующий с востоко-юго-востока;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-19.5;;;;;;
14.01.2017 23:00;-18.9;717.1;776.6;;90;Ветер, дующий с западо-северо-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-20.1;;;;;;
15.01.2017 5:00;-18.7;716.8;776.2;;90;Ветер, дующий с северо-запада;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-19.9;;;;;;
15.01.2017 11:00;-20.0;716.8;776.6;;90;Штиль, безветрие;0;;;100%.; ;;;-21.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-21.2;;;;;;
15.01.2017 17:00;-18.2;715.9;775.1;;85;Ветер, дующий с северо-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10.0;-20.1;;;;;;
15.01.2017 23:00;-20.4;717.1;776.9;;85;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-22.3;;;;;;
16.01.2017 5:00;-23.3;718.6;779.2;;85;Ветер, дующий с запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-25.1;;;;;;
16.01.2017 11:00;-21.9;719.3;779.8;;85;Ветер, дующий с западо-северо-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-23.8;;;;;;
16.01.2017 17:00;-19.7;718.5;778.3;;85;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-21.6;;;;;;
16.01.2017 23:00;-20.6;718.6;778.6;;85;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-22.5;;;;;;
17.01.2017 5:00;-22.1;718.9;779.4;;89;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-23.4;;;;;;
17.01.2017 11:00;-22.1;720.4;781.0;;85;Ветер, дующий с западо-северо-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-24.0;;;;;;
